"",BBK01.SU0016,BBK01.SU0016_FLAGS
"","Deposit rates of banks / Time deposits with agreed maturities of 1 month, EUR 50,000 and more but less than EUR 500,000 / Average interest rate",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:13,
1967-06,2.82,
1967-07,.,No value available
1967-08,.,No value available
1967-09,2.74,
1967-10,.,No value available
1967-11,.,No value available
1967-12,2.99,
1968-01,.,No value available
1968-02,.,No value available
1968-03,2.82,
1968-04,.,No value available
1968-05,.,No value available
1968-06,2.84,
1968-07,.,No value available
1968-08,.,No value available
1968-09,2.85,
1968-10,.,No value available
1968-11,3.08,
1968-12,.,No value available
1969-01,.,No value available
1969-02,3.01,
1969-03,.,No value available
1969-04,.,No value available
1969-05,3.24,
1969-06,.,No value available
1969-07,.,No value available
1969-08,4.16,
1969-09,.,No value available
1969-10,.,No value available
1969-11,4.88,
1969-12,.,No value available
1970-01,.,No value available
1970-02,6.95,
1970-03,.,No value available
1970-04,.,No value available
1970-05,7.93,
1970-06,.,No value available
1970-07,.,No value available
1970-08,7.67,
1970-09,.,No value available
1970-10,.,No value available
1970-11,7.49,
1970-12,.,No value available
1971-01,6.64,
1971-02,6.56,
1971-03,.,No value available
1971-04,.,No value available
1971-05,5.59,
1971-06,.,No value available
1971-07,.,No value available
1971-08,6.21,
1971-09,.,No value available
1971-10,.,No value available
1971-11,6.05,
1971-12,.,No value available
1972-01,.,No value available
1972-02,5.12,
1972-03,.,No value available
1972-04,.,No value available
1972-05,4.55,
1972-06,.,No value available
1972-07,.,No value available
1972-08,4.61,
1972-09,.,No value available
1972-10,.,No value available
1972-11,6.26,
1972-12,.,No value available
1973-01,.,No value available
1973-02,6.74,
1973-03,.,No value available
1973-04,.,No value available
1973-05,8.34,
1973-06,.,No value available
1973-07,10.06,
1973-08,10.67,
1973-09,.,No value available
1973-10,.,No value available
1973-11,11.05,
1973-12,.,No value available
1974-01,.,No value available
1974-02,9.46,
1974-03,.,No value available
1974-04,.,No value available
1974-05,8.03,
1974-06,.,No value available
1974-07,.,No value available
1974-08,7.89,
1974-09,.,No value available
1974-10,.,No value available
1974-11,7.72,
1974-12,.,No value available
1975-01,.,No value available
1975-02,5.80,
1975-03,5.01,
1975-04,4.61,
1975-05,4.40,
1975-06,4.10,
1975-07,3.99,
1975-08,3.57,
1975-09,3.46,
1975-10,3.70,comment
1975-11,3.76,comment
1975-12,3.84,comment
1976-01,3.60,
1976-02,3.52,
1976-03,3.43,
1976-04,3.29,
1976-05,3.25,
1976-06,3.33,
1976-07,3.49,
1976-08,3.69,
1976-09,3.82,
1976-10,4.09,comment
1976-11,3.95,
1976-12,3.99,
1977-01,3.95,
1977-02,3.87,
1977-03,3.89,
1977-04,3.75,
1977-05,3.60,
1977-06,3.53,
1977-07,3.52,
1977-08,3.48,
1977-09,3.43,
1977-10,3.57,comment
1977-11,3.60,comment
1977-12,3.59,comment
1978-01,3.08,
1978-02,2.93,
1978-03,2.86,
1978-04,2.87,
1978-05,2.88,
1978-06,2.94,
1978-07,3.01,
1978-08,3.06,
1978-09,3.08,
1978-10,3.33,comment
1978-11,3.32,comment
1978-12,3.34,comment
1979-01,3.13,
1979-02,3.27,
1979-03,3.43,
1979-04,4.14,
1979-05,4.40,
1979-06,4.79,
1979-07,5.19,
1979-08,5.52,
1979-09,6.01,
1979-10,6.65,comment
1979-11,7.44,comment
1979-12,7.62,comment
1980-01,7.39,
1980-02,7.51,
1980-03,7.99,
1980-04,8.29,
1980-05,8.48,
1980-06,8.43,
1980-07,8.27,
1980-08,7.72,
1980-09,7.54,
1980-10,7.69,
1980-11,7.88,comment
1980-12,8.20,comment
1981-01,7.93,
1981-02,8.19,
1981-03,9.60,
1981-04,9.96,
1981-05,10.21,
1981-06,10.36,
1981-07,10.45,
1981-08,10.57,
1981-09,10.57,
1981-10,9.98,
1981-11,9.70,
1981-12,9.32,
1982-01,9.00,
1982-02,8.74,
1982-03,8.57,
1982-04,8.09,
1982-05,7.71,
1982-06,7.67,
1982-07,7.86,
1982-08,7.79,
1982-09,7.00,
1982-10,6.66,
1982-11,6.07,
1982-12,5.35,
1983-01,4.87,
1983-02,4.82,
1983-03,4.58,
1983-04,4.07,
1983-05,4.07,
1983-06,4.21,
1983-07,4.28,
1983-08,4.43,
1983-09,4.62,
1983-10,4.81,comment
1983-11,4.90,comment
1983-12,5.02,comment
1984-01,4.88,
1984-02,4.84,
1984-03,4.77,
1984-04,4.77,
1984-05,4.83,
1984-06,4.85,
1984-07,4.89,
1984-08,4.91,
1984-09,4.86,
1984-10,4.93,comment
1984-11,4.89,comment
1984-12,4.87,
1985-01,4.72,
1985-02,4.83,
1985-03,4.96,
1985-04,4.91,
1985-05,4.82,
1985-06,4.74,
1985-07,4.56,
1985-08,4.08,
1985-09,3.88,
1985-10,3.88,
1985-11,3.94,
1985-12,3.95,
1986-01,3.86,
1986-02,3.76,
1986-03,3.58,
1986-04,3.49,
1986-05,3.48,
1986-06,3.73,
1986-07,3.74,
1986-08,3.75,
1986-09,3.71,
1986-10,3.73,
1986-11,3.78,
1986-12,3.86,
1987-01,3.74,
1987-02,3.34,
1987-03,3.26,
1987-04,3.21,
1987-05,3.10,
1987-06,3.03,
1987-07,3.03,
1987-08,3.09,
1987-09,3.12,
1987-10,3.31,
