"",BBK01.OEAD13O,BBK01.OEAD13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:44,
2002-01,0.101,
2002-04,0.112,
2002-07,0.099,
2002-10,0.079,
2003-01,0.095,
2003-04,0.107,
2003-07,0.081,
2003-10,0.073,
2004-01,0.073,
2004-04,0.091,
2004-07,0.083,
2004-10,0.100,
2005-01,0.110,
2005-04,0.094,
2005-07,0.084,
2005-10,0.097,
2006-01,0.111,
2006-04,0.116,
2006-07,0.107,
2006-10,0.098,
2007-01,0.098,
2007-04,0.121,
2007-07,0.113,
2007-10,0.111,
2008-01,0.143,
2008-04,0.134,
2008-07,0.138,
2008-10,0.297,
2009-01,0.158,
2009-04,0.135,
2009-07,0.120,
2009-10,0.115,
2010-01,0.106,
2010-04,0.160,
2010-07,0.166,
2010-10,0.263,
2011-01,0.159,
2011-04,0.164,
2011-07,0.171,
2011-10,0.316,
2012-01,0.179,
2012-04,0.169,
2012-07,0.172,
2012-10,0.320,
2013-01,0.153,
2013-04,0.156,
2013-07,0.154,
2013-10,0.325,
2014-01,0.146,
2014-04,0.163,
2014-07,0.151,
