"",BBK01.OECB07U,BBK01.OECB07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:13,
2002-01,0.160,
2002-04,0.171,
2002-07,0.156,
2002-10,0.152,
2003-01,0.126,
2003-04,0.129,
2003-07,0.130,
2003-10,0.126,
2004-01,0.131,
2004-04,0.121,
2004-07,0.118,
2004-10,0.105,
2005-01,0.105,
2005-04,0.101,
2005-07,0.124,
2005-10,0.118,
2006-01,0.120,
2006-04,0.125,
2006-07,0.127,
2006-10,0.134,
2007-01,0.134,
2007-04,0.139,
2007-07,0.142,
2007-10,0.140,
2008-01,0.132,
2008-04,0.141,
2008-07,0.145,
2008-10,0.147,
2009-01,0.152,
2009-04,0.149,
2009-07,0.138,
2009-10,0.137,
2010-01,0.167,
2010-04,0.163,
2010-07,0.170,
2010-10,0.170,
2011-01,0.168,
2011-04,0.170,
2011-07,0.173,
2011-10,0.159,
2012-01,0.165,
2012-04,0.164,
2012-07,0.192,
2012-10,0.187,
2013-01,0.213,
2013-04,0.221,
2013-07,0.290,
2013-10,0.285,
2014-01,0.280,
2014-04,0.282,
2014-07,0.273,
