"",BBK01.OEAE12R,BBK01.OEAE12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:36,
2002-01,0.021,
2002-04,0.025,
2002-07,0.026,
2002-10,0.030,
2003-01,0.034,
2003-04,0.033,
2003-07,0.033,
2003-10,0.030,
2004-01,0.034,
2004-04,0.016,
2004-07,0.013,
2004-10,0.015,
2005-01,0.016,
2005-04,0.012,
2005-07,0.019,
2005-10,0.012,
2006-01,0.014,
2006-04,0.014,
2006-07,0.013,
2006-10,0.015,
2007-01,0.014,
2007-04,0.011,
2007-07,0.012,
2007-10,0.013,
2008-01,0.014,
2008-04,0.015,
2008-07,0.012,
2008-10,0.015,
2009-01,0.019,
2009-04,0.011,
2009-07,0.013,
2009-10,0.016,
2010-01,0.013,
2010-04,0.012,
2010-07,0.017,
2010-10,0.014,
2011-01,0.016,
2011-04,0.015,
2011-07,0.017,
2011-10,0.017,
2012-01,0.003,
2012-04,0.004,
2012-07,0.007,
2012-10,0.006,
2013-01,0.004,
2013-04,0.005,
2013-07,0.005,
2013-10,0.005,
2014-01,0.005,
2014-04,0.003,
2014-07,0.002,
