"",BBFN1.M.DE.N.1.L.MA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Morocco,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:21,
1994-12,0.038,
1995-01,0.037,
1995-02,0.037,
1995-03,0.042,
1995-04,0.043,
1995-05,0.041,
1995-06,0.038,
1995-07,0.049,
1995-08,0.041,
1995-09,0.040,
1995-10,0.042,
1995-11,0.040,
1995-12,0.047,
1996-01,0.049,
1996-02,0.048,
1996-03,0.053,
1996-04,0.062,
1996-05,0.060,
1996-06,0.057,
1996-07,0.054,
1996-08,0.054,
1996-09,0.053,
1996-10,0.049,
1996-11,0.052,
1996-12,0.056,
1997-01,0.055,
1997-02,0.052,
1997-03,0.055,
1997-04,0.048,
1997-05,0.048,
1997-06,0.036,
1997-07,0.039,
1997-08,0.041,
1997-09,0.034,
1997-10,0.037,
1997-11,0.038,
1997-12,0.034,
1998-01,0.041,
1998-02,0.038,
1998-03,0.036,
1998-04,0.040,
1998-05,0.037,
1998-06,0.039,
1998-07,0.040,
1998-08,0.044,
1998-09,0.036,
1998-10,0.036,
1998-11,0.037,
1998-12,0.039,
1999-01,0.042,
1999-02,0.044,
1999-03,0.043,
1999-04,0.036,
1999-05,0.045,
1999-06,0.048,
1999-07,0.047,
1999-08,0.046,
1999-09,0.040,
1999-10,0.049,
1999-11,0.046,
1999-12,0.051,
2000-01,0.046,
2000-02,0.047,
2000-03,0.059,
2000-04,0.074,
2000-05,0.061,
2000-06,0.068,
2000-07,0.076,
2000-08,0.082,
2000-09,0.070,
2000-10,0.077,
2000-11,0.075,
2000-12,0.085,
2001-01,0.083,
2001-02,0.083,
2001-03,0.074,
2001-04,0.090,
2001-05,0.077,
2001-06,0.087,
2001-07,0.074,
2001-08,0.077,
2001-09,0.082,
2001-10,0.079,
2001-11,0.059,
2001-12,0.061,
2002-01,0.040,
2002-02,0.044,
2002-03,0.058,
2002-04,0.056,
2002-05,0.060,
2002-06,0.056,
2002-07,0.055,
2002-08,0.059,
2002-09,0.064,
2002-10,0.067,
2002-11,0.065,
2002-12,0.073,
2003-01,0.061,
2003-02,0.084,
2003-03,0.079,
2003-04,0.082,
2003-05,0.082,
2003-06,0.090,
2003-07,0.103,
2003-08,0.113,
2003-09,0.130,
2003-10,0.134,
2003-11,0.135,
2003-12,0.170,
2004-01,0.166,
2004-02,0.187,
2004-03,0.216,
2004-04,0.210,
2004-05,0.214,
2004-06,0.234,
2004-07,0.237,
2004-08,0.252,
2004-09,0.245,
2004-10,0.250,
2004-11,0.245,
2004-12,0.256,
2005-01,0.253,
2005-02,0.254,
2005-03,0.067,
2005-04,0.054,
2005-05,0.061,
2005-06,0.054,
2005-07,0.055,
2005-08,0.051,
2005-09,0.048,
2005-10,0.054,
2005-11,0.053,
2005-12,0.045,
2006-01,0.041,
2006-02,0.047,
2006-03,0.053,
2006-04,0.064,
2006-05,0.054,
2006-06,0.054,
2006-07,0.069,
2006-08,0.042,
2006-09,0.065,
2006-10,0.049,
2006-11,0.049,
2006-12,0.065,
2007-01,0.068,
2007-02,0.069,
2007-03,0.068,
2007-04,0.069,
2007-05,0.074,
2007-06,0.070,
2007-07,0.070,
2007-08,0.073,
2007-09,0.073,
2007-10,0.070,
2007-11,0.089,
2007-12,0.083,
2008-01,0.090,
2008-02,0.094,
2008-03,0.109,
2008-04,0.103,
2008-05,0.123,
2008-06,0.105,
2008-07,0.115,
2008-08,0.107,
2008-09,0.119,
2008-10,0.114,
2008-11,0.122,
2008-12,0.108,
2009-01,0.125,
2009-02,0.133,
2009-03,0.133,
2009-04,0.119,
2009-05,0.121,
2009-06,0.112,
2009-07,0.114,
2009-08,0.105,
2009-09,0.098,
2009-10,0.098,
2009-11,0.111,
2009-12,0.113,
2010-01,0.111,
2010-02,0.112,
2010-03,0.122,
2010-04,0.100,
2010-05,0.103,
2010-06,0.089,
2010-07,0.107,
2010-08,0.091,
2010-09,0.099,
2010-10,0.121,
2010-11,0.134,
2010-12,0.126,
2011-01,0.126,
2011-02,0.129,
2011-03,0.136,
2011-04,0.136,
2011-05,0.139,
2011-06,0.157,
2011-07,0.154,
2011-08,0.132,
2011-09,0.156,
2011-10,0.150,
2011-11,0.149,
2011-12,0.161,
2012-01,0.152,
2012-02,0.158,
2012-03,0.179,
2012-04,0.177,
2012-05,0.162,
2012-06,0.168,
2012-07,0.187,
2012-08,0.160,
2012-09,0.175,
2012-10,0.178,
2012-11,0.184,
2012-12,0.160,
2013-01,0.168,
2013-02,0.156,
2013-03,0.159,
2013-04,0.164,
2013-05,0.161,
2013-06,0.178,
2013-07,0.162,
2013-08,0.172,
2013-09,0.176,
2013-10,0.186,
2013-11,0.180,
2013-12,0.196,
2014-01,0.189,
2014-02,0.188,
2014-03,0.199,
2014-04,0.196,
2014-05,0.200,
2014-06,0.205,
2014-07,0.204,
2014-08,0.200,
2014-09,0.213,
2014-10,0.213,
2014-11,0.214,
2014-12,0.226,
