"",BBSF2.M.1.S.I0015.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:46,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,205,
2010-02,205,
2010-03,209,
2010-04,207,
2010-05,205,
2010-06,204,
2010-07,207,
2010-08,208,
2010-09,210,
2010-10,212,
2010-11,207,
2010-12,253,
2011-01,256,
2011-02,258,
2011-03,255,
2011-04,349,
2011-05,350,
2011-06,438,
2011-07,501,
2011-08,1294,
2011-09,1295,
2011-10,3096,
2011-11,3038,
2011-12,3099,
2012-01,3163,
2012-02,3204,
2012-03,3229,
2012-04,3240,
2012-05,3238,
2012-06,3138,
2012-07,3223,
2012-08,3255,
2012-09,3269,
2012-10,3233,
2012-11,3241,
2012-12,3316,
2013-01,3314,
2013-02,3346,
2013-03,3421,
2013-04,3459,
2013-05,4023,
2013-06,3925,
2013-07,4050,
2013-08,4053,
2013-09,4140,
2013-10,4208,
2013-11,4218,
2013-12,4298,
2014-01,4299,
2014-02,4367,
2014-03,4368,
2014-04,4378,
2014-05,4461,
2014-06,4542,
2014-07,4547,
2014-08,5044,
2014-09,5073,
2014-10,5125,
2014-11,5234,
