"",BBSF2.M.1.T.00000.GEM01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.GEM01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Mixed securities funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:32,
2009-09,203672,
2009-10,206405,
2009-11,208081,
2009-12,209416,
2010-01,213837,
2010-02,214978,
2010-03,220260,
2010-04,214278,
2010-05,210668,
2010-06,212568,
2010-07,218072,
2010-08,223069,
2010-09,222772,
2010-10,227347,
2010-11,223247,
2010-12,234178,
2011-01,235837,
2011-02,240857,
2011-03,240372,
2011-04,242007,
2011-05,242296,
2011-06,240918,
2011-07,241027,
2011-08,232392,
2011-09,227789,
2011-10,229611,
2011-11,223098,
2011-12,225638,
2012-01,225641,
2012-02,234466,
2012-03,236924,
2012-04,238001,
2012-05,236042,
2012-06,235241,
2012-07,240698,
2012-08,244122,
2012-09,245519,
2012-10,247704,
2012-11,253241,
2012-12,258930,
2013-01,260368,
2013-02,264530,
2013-03,268696,
2013-04,275020,
2013-05,276871,
2013-06,272809,
2013-07,278986,
2013-08,279099,
2013-09,283182,
2013-10,287227,
2013-11,286821,
2013-12,286774,
2014-01,288118,
2014-02,293209,
2014-03,294745,
2014-04,296943,
2014-05,302689,
2014-06,305558,
2014-07,307704,
2014-08,327200,
2014-09,326712,
2014-10,326322,
2014-11,331996,
