"",BBSF2.M.1.S.I0002.IMM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.IMM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:13,
2004-01,-,Nothing exists
2004-02,9,
2004-03,23,
2004-04,17,
2004-05,12,
2004-06,3,
2004-07,-,Nothing exists
2004-08,13,
2004-09,19,
2004-10,10,
2004-11,41,
2004-12,138,
2005-01,18,
2005-02,-4,
2005-03,7,
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,74,
2005-07,92,
2005-08,-2,
2005-09,75,
2005-10,13,
2005-11,26,
2005-12,231,
2006-01,74,
2006-02,26,
2006-03,2,
2006-04,-48,
2006-05,32,
2006-06,12,
2006-07,237,
2006-08,68,
2006-09,66,
2006-10,24,
2006-11,122,
2006-12,157,
2007-01,24,
2007-02,28,
2007-03,89,
2007-04,-15,
2007-05,42,
2007-06,-39,
2007-07,31,
2007-08,71,
2007-09,18,
2007-10,17,
2007-11,9,
2007-12,126,
2008-01,56,
2008-02,-23,
2008-03,41,
2008-04,0,
2008-05,30,
2008-06,186,
2008-07,183,
2008-08,58,
2008-09,122,
2008-10,-10,
2008-11,59,
2008-12,215,
2009-01,107,
2009-02,-,Nothing exists
2009-03,128,
2009-04,14,
2009-05,81,
2009-06,85,
2009-07,40,
2009-08,202,
2009-09,36,
2009-10,97,
2009-11,169,
2009-12,352,
2010-01,157,
2010-02,46,
2010-03,37,
2010-04,-39,
2010-05,-48,
2010-06,9,
2010-07,69,
2010-08,6,
2010-09,8,
2010-10,58,
2010-11,246,
2010-12,141,
2011-01,39,
2011-02,170,
2011-03,92,
2011-04,13,
2011-05,144,
2011-06,79,
2011-07,-28,
2011-08,117,
2011-09,240,
2011-10,439,
2011-11,103,
2011-12,353,
2012-01,165,
2012-02,-11,
2012-03,107,
2012-04,-68,
2012-05,98,
2012-06,50,
2012-07,46,
2012-08,201,
2012-09,170,
2012-10,222,
2012-11,98,
2012-12,421,
2013-01,229,
2013-02,253,
2013-03,117,
2013-04,523,
2013-05,-26,
2013-06,246,
2013-07,56,
2013-08,166,
2013-09,98,
2013-10,32,
2013-11,82,
2013-12,338,
2014-01,107,
2014-02,182,
2014-03,235,
2014-04,81,
2014-05,178,
2014-06,417,
2014-07,233,
2014-08,394,
2014-09,192,
2014-10,11,
2014-11,552,
