"",BBK01.OEAF06S,BBK01.OEAF06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:50,
2002-01,0.883,
2002-04,0.883,
2002-07,0.896,
2002-10,0.902,
2003-01,0.889,
2003-04,0.899,
2003-07,0.838,
2003-10,0.858,
2004-01,0.816,
2004-04,0.817,
2004-07,0.787,
2004-10,0.812,
2005-01,0.788,
2005-04,0.812,
2005-07,0.792,
2005-10,0.796,
2006-01,0.791,
2006-04,0.819,
2006-07,0.835,
2006-10,0.847,
2007-01,0.840,
2007-04,0.849,
2007-07,0.862,
2007-10,0.863,
2008-01,0.851,
2008-04,0.896,
2008-07,0.911,
2008-10,0.925,
2009-01,0.921,
2009-04,0.942,
2009-07,1.003,
2009-10,1.003,
2010-01,1.002,
2010-04,1.033,
2010-07,1.072,
2010-10,1.053,
2011-01,1.055,
2011-04,1.067,
2011-07,1.091,
2011-10,1.107,
2012-01,1.106,
2012-04,1.118,
2012-07,1.173,
2012-10,1.141,
2013-01,1.136,
2013-04,1.157,
2013-07,1.178,
2013-10,1.182,
2014-01,1.195,
2014-04,1.226,
2014-07,1.247,
