"",BBFN1.M.DE.N.1.L.BG.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BG.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Bulgaria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:01,
1994-07,0.059,
1994-08,0.034,
1994-09,0.035,
1994-10,0.043,
1994-11,0.040,
1994-12,0.034,
1995-01,0.035,
1995-02,0.033,
1995-03,0.034,
1995-04,0.030,
1995-05,0.031,
1995-06,0.028,
1995-07,0.031,
1995-08,0.033,
1995-09,0.033,
1995-10,0.036,
1995-11,0.033,
1995-12,0.027,
1996-01,0.031,
1996-02,0.024,
1996-03,0.022,
1996-04,0.027,
1996-05,0.024,
1996-06,0.020,
1996-07,0.022,
1996-08,0.023,
1996-09,0.027,
1996-10,0.022,
1996-11,0.024,
1996-12,0.020,
1997-01,0.020,
1997-02,0.022,
1997-03,0.021,
1997-04,0.020,
1997-05,0.026,
1997-06,0.022,
1997-07,0.021,
1997-08,0.023,
1997-09,0.023,
1997-10,0.036,
1997-11,0.025,
1997-12,0.027,
1998-01,0.027,
1998-02,0.023,
1998-03,0.024,
1998-04,0.023,
1998-05,0.024,
1998-06,0.025,
1998-07,0.023,
1998-08,0.026,
1998-09,0.025,
1998-10,0.023,
1998-11,0.025,
1998-12,0.024,
1999-01,0.025,
1999-02,0.022,
1999-03,0.022,
1999-04,0.030,
1999-05,0.032,
1999-06,0.032,
1999-07,0.027,
1999-08,0.029,
1999-09,0.027,
1999-10,0.028,
1999-11,0.028,
1999-12,0.027,
2000-01,0.028,
2000-02,0.029,
2000-03,0.029,
2000-04,0.033,
2000-05,0.029,
2000-06,0.029,
2000-07,0.032,
2000-08,0.031,
2000-09,0.033,
2000-10,0.037,
2000-11,0.036,
2000-12,0.040,
2001-01,0.035,
2001-02,0.038,
2001-03,0.034,
2001-04,0.038,
2001-05,0.040,
2001-06,0.040,
2001-07,0.041,
2001-08,0.043,
2001-09,0.039,
2001-10,0.039,
2001-11,0.036,
2001-12,0.035,
2002-01,0.036,
2002-02,0.035,
2002-03,0.031,
2002-04,0.033,
2002-05,0.039,
2002-06,0.036,
2002-07,0.043,
2002-08,0.044,
2002-09,0.045,
2002-10,0.044,
2002-11,0.052,
2002-12,0.053,
2003-01,0.043,
2003-02,0.048,
2003-03,0.048,
2003-04,0.051,
2003-05,0.047,
2003-06,0.052,
2003-07,0.052,
2003-08,0.051,
2003-09,0.038,
2003-10,0.046,
2003-11,0.043,
2003-12,0.046,
2004-01,0.041,
2004-02,0.047,
2004-03,0.043,
2004-04,0.040,
2004-05,0.039,
2004-06,0.041,
2004-07,0.042,
2004-08,0.041,
2004-09,0.048,
2004-10,0.046,
2004-11,0.043,
2004-12,0.077,
2005-01,0.076,
2005-02,0.079,
2005-03,0.078,
2005-04,0.082,
2005-05,0.073,
2005-06,0.047,
2005-07,0.042,
2005-08,0.043,
2005-09,0.049,
2005-10,0.052,
2005-11,0.053,
2005-12,0.054,
2006-01,0.051,
2006-02,0.054,
2006-03,0.057,
2006-04,0.050,
2006-05,0.054,
2006-06,0.063,
2006-07,0.053,
2006-08,0.050,
2006-09,0.086,
2006-10,0.081,
2006-11,0.080,
2006-12,0.079,
2007-01,0.092,
2007-02,0.100,
2007-03,0.105,
2007-04,0.100,
2007-05,0.105,
2007-06,0.070,
2007-07,0.061,
2007-08,0.059,
2007-09,0.067,
2007-10,0.073,
2007-11,0.065,
2007-12,0.079,
2008-01,0.061,
2008-02,0.066,
2008-03,0.077,
2008-04,0.070,
2008-05,0.080,
2008-06,0.079,
2008-07,0.079,
2008-08,0.071,
2008-09,0.081,
2008-10,0.060,
2008-11,0.075,
2008-12,0.066,
2009-01,0.059,
2009-02,0.054,
2009-03,0.057,
2009-04,0.049,
2009-05,0.053,
2009-06,0.068,
2009-07,0.067,
2009-08,0.071,
2009-09,0.072,
2009-10,0.068,
2009-11,0.076,
2009-12,0.069,
2010-01,0.064,
2010-02,0.076,
2010-03,0.075,
2010-04,0.067,
2010-05,0.080,
2010-06,0.086,
2010-07,0.074,
2010-08,0.069,
2010-09,0.079,
2010-10,0.080,
2010-11,0.075,
2010-12,0.099,
2011-01,0.092,
2011-02,0.077,
2011-03,0.105,
2011-04,0.121,
2011-05,0.144,
2011-06,0.184,
2011-07,0.165,
2011-08,0.161,
2011-09,0.180,
2011-10,0.165,
2011-11,0.156,
2011-12,0.184,
2012-01,0.108,
2012-02,0.100,
2012-03,0.107,
2012-04,0.096,
2012-05,0.100,
2012-06,0.087,
2012-07,0.109,
2012-08,0.096,
2012-09,0.117,
2012-10,0.093,
2012-11,0.104,
2012-12,0.086,
2013-01,0.110,
2013-02,0.109,
2013-03,0.131,
2013-04,0.166,
2013-05,0.121,
2013-06,0.091,
2013-07,0.107,
2013-08,0.164,
2013-09,0.203,
2013-10,0.152,
2013-11,0.150,
2013-12,0.134,
2014-01,0.128,
2014-02,0.171,
2014-03,0.132,
2014-04,0.122,
2014-05,0.153,
2014-06,0.181,
2014-07,0.168,
2014-08,0.172,
2014-09,0.187,
2014-10,0.186,
2014-11,0.192,
2014-12,0.152,
