"",BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:16,
1991-01,1608.042,
1991-04,-560.216,
1991-07,805.719,
1991-10,271.570,
1992-01,2176.184,
1992-04,1146.881,
1992-07,1887.888,
1992-10,906.207,
1993-01,4263.480,
1993-04,880.181,
1993-07,2663.708,
1993-10,3160.823,
1994-01,6216.377,
1994-04,534.395,
1994-07,-607.004,
1994-10,-4082.559,
1995-01,5845.116,
1995-04,3959.963,
1995-07,588.954,
1995-10,8706.471,
1996-01,7410.832,
1996-04,1684.653,
1996-07,3529.597,
1996-10,3293.827,
1997-01,6203.042,
1997-04,2435.251,
1997-07,1894.585,
1997-10,2336.497,
1998-01,5886.017,
1998-04,5855.239,
1998-07,2613.217,
1998-10,-2683.130,
1999-01,12049.972,
1999-04,942.833,
1999-07,2616.955,
1999-10,-8940.857,
2000-01,9681.298,
2000-04,-4769.043,
2000-07,-1018.206,
2000-10,-2996.668,
2001-01,8138.251,
2001-04,-5306.524,
2001-07,-2519.165,
2001-10,-5393.558,
2002-01,-1571.153,
2002-04,-5950.554,
2002-07,-357.557,
2002-10,-2509.763,
2003-01,6211.752,
2003-04,-4763.101,
2003-07,-3418.571,
2003-10,-6428.507,
2004-01,4713.042,
2004-04,-10679.177,
2004-07,-2249.006,
2004-10,-211.804,
2005-01,6164.472,
2005-04,-7446.473,
2005-07,-6950.382,
2005-10,-1748.007,
2006-01,2334.717,
2006-04,4634.874,
2006-07,-5402.630,
2006-10,1714.582,
2007-01,-979.845,
2007-04,-1676.124,
2007-07,6574.131,
2007-10,-4356.906,
2008-01,7568.871,
2008-04,7537.286,
2008-07,-3038.469,
2008-10,-11946.245,
2009-01,2982.292,
2009-04,-2757.632,
2009-07,1887.766,
2009-10,-6933.392,
2010-01,970.487,
2010-04,720.107,
2010-07,3311.042,
2010-10,-3187.054,
2011-01,9067.026,
2011-04,3005.605,
2011-07,1559.706,
2011-10,-4098.355,
2012-01,8252.846,
2012-04,2342.601,
2012-07,-8436.470,
2012-10,-4535.079,
2013-01,7576.775,
2013-04,1569.503,
2013-07,-4390.179,
2013-10,-6220.297,
2014-01,6415.559,Provisional value
2014-04,10286.676,Provisional value
2014-07,-4256.178,Provisional value
2014-10,-7767.545,Provisional value
