"",BBK01.OEAC53M,BBK01.OEAC53M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:20,
2002-01,1.330,
2002-04,1.563,
2002-07,1.574,
2002-10,1.605,
2003-01,1.630,
2003-04,1.679,
2003-07,1.689,
2003-10,1.741,
2004-01,1.787,
2004-04,1.776,
2004-07,1.464,
2004-10,1.412,
2005-01,1.358,
2005-04,1.432,
2005-07,1.193,
2005-10,1.312,
2006-01,1.385,
2006-04,1.394,
2006-07,1.200,
2006-10,1.188,
2007-01,1.258,
2007-04,1.282,
2007-07,1.333,
2007-10,1.451,
2008-01,1.486,
2008-04,1.468,
2008-07,1.959,
2008-10,1.994,
2009-01,1.994,
2009-04,2.236,
2009-07,2.343,
2009-10,2.300,
2010-01,3.032,
2010-04,3.031,
2010-07,2.901,
2010-10,2.993,
2011-01,2.921,
2011-04,2.952,
2011-07,3.044,
2011-10,2.935,
2012-01,2.961,
2012-04,3.023,
2012-07,3.100,
2012-10,3.273,
2013-01,3.365,
2013-04,3.442,
2013-07,3.638,
2013-10,3.592,
2014-01,4.106,
2014-04,3.759,
2014-07,3.779,
