"",BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:29,
2008-01,15.07,
2008-02,15.14,
2008-03,15.24,
2008-04,15.42,
2008-05,14.23,
2008-06,14.95,
2008-07,13.89,
2008-08,13.85,
2008-09,14.02,
2008-10,13.46,
2008-11,12.21,
2008-12,10.79,
2009-01,8.99,
2009-02,8.54,
2009-03,9.03,
2009-04,8.81,
2009-05,9.43,
2009-06,10.48,
2009-07,10.40,
2009-08,10.71,
2009-09,11.38,
2009-10,10.76,
2009-11,12.46,
2009-12,11.59,
2010-01,11.55,
2010-02,11.83,
2010-03,12.72,
2010-04,12.69,
2010-05,13.67,
2010-06,14.09,
2010-07,13.40,
2010-08,13.02,
2010-09,14.16,
2010-10,14.16,
2010-11,14.18,
2010-12,14.08,
2011-01,14.45,
2011-02,14.76,
2011-03,15.17,
2011-04,15.07,
2011-05,15.56,
2011-06,15.03,
2011-07,15.67,
2011-08,16.26,
2011-09,15.60,
2011-10,15.77,
2011-11,15.74,
2011-12,15.47,
2012-01,15.46,
2012-02,15.89,
2012-03,15.80,
2012-04,15.97,
2012-05,15.97,
2012-06,16.05,
2012-07,17.20,
2012-08,16.97,
2012-09,15.72,
2012-10,15.77,
2012-11,15.34,
2012-12,15.60,
2013-01,15.09,
2013-02,15.33,
2013-03,15.42,
2013-04,16.36,
2013-05,15.22,
2013-06,15.79,
2013-07,15.84,
2013-08,17.07,
2013-09,16.54,
2013-10,16.05,
2013-11,16.56,
2013-12,16.18,
2014-01,16.77,
2014-02,16.52,
2014-03,16.10,
2014-04,17.35,
2014-05,16.70,
2014-06,17.08,
2014-07,18.34,
2014-08,15.53,
2014-09,17.33,
2014-10,17.60,
2014-11,17.67,
2014-12,18.03,
