"",BBFN1.M.DE.N.1.A.BE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:16,
1979-01,0.125,
1979-02,0.111,
1979-03,0.182,
1979-04,0.232,
1979-05,0.266,
1979-06,0.233,
1979-07,0.172,
1979-08,0.161,
1979-09,0.134,
1979-10,0.144,
1979-11,0.139,
1979-12,0.112,
1980-01,0.134,
1980-02,0.150,
1980-03,0.142,
1980-04,0.131,
1980-05,0.123,
1980-06,0.225,
1980-07,0.221,
1980-08,0.248,
1980-09,0.253,
1980-10,0.281,
1980-11,0.294,
1980-12,0.292,
1981-01,0.309,
1981-02,0.288,
1981-03,0.309,
1981-04,0.252,
1981-05,0.257,
1981-06,0.219,
1981-07,0.191,
1981-08,0.208,
1981-09,0.242,
1981-10,0.287,
1981-11,0.221,
1981-12,0.243,
1982-01,0.240,
1982-02,0.263,
1982-03,0.279,
1982-04,0.292,
1982-05,0.301,
1982-06,0.236,
1982-07,0.178,
1982-08,0.188,
1982-09,0.248,
1982-10,0.216,
1982-11,0.206,
1982-12,0.220,
1983-01,0.173,
1983-02,0.240,
1983-03,0.198,
1983-04,0.215,
1983-05,0.219,
1983-06,0.251,
1983-07,0.195,
1983-08,0.213,
1983-09,0.218,
1983-10,0.228,
1983-11,0.265,
1983-12,0.191,
1984-01,0.256,
1984-02,0.273,
1984-03,0.265,
1984-04,0.283,
1984-05,0.256,
1984-06,0.297,
1984-07,0.307,
1984-08,0.318,
1984-09,0.219,
1984-10,0.228,
1984-11,0.278,
1984-12,0.360,
1985-01,0.422,
1985-02,0.385,
1985-03,0.326,
1985-04,0.299,
1985-05,0.291,
1985-06,0.342,
1985-07,0.448,
1985-08,0.486,
1985-09,0.363,
1985-10,0.440,
1985-11,0.320,
1985-12,0.428,
1986-01,0.375,
1986-02,0.454,
1986-03,0.588,
1986-04,0.788,
1986-05,0.858,
1986-06,0.825,
1986-07,1.008,
1986-08,1.011,
1986-09,0.919,
1986-10,1.100,
1986-11,1.219,
1986-12,1.130,
1987-01,1.214,
1987-02,1.262,
1987-03,1.187,
1987-04,1.080,
1987-05,1.126,
1987-06,1.209,
1987-07,1.474,
1987-08,1.472,
1987-09,1.238,
1987-10,1.347,
1987-11,1.326,
1987-12,1.021,
1988-01,1.144,
1988-02,1.255,
1988-03,1.497,
1988-04,1.629,
1988-05,1.610,
1988-06,1.547,
1988-07,1.331,
1988-08,1.157,
1988-09,1.120,
1988-10,1.080,
1988-11,1.097,
1988-12,0.892,
1989-01,1.226,
1989-02,1.364,
1989-03,1.430,
1989-04,1.957,
1989-05,1.894,
1989-06,2.096,
1989-07,2.053,
1989-08,2.242,
1989-09,2.283,
1989-10,2.333,
1989-11,2.534,
1989-12,1.681,
1990-01,2.745,
1990-02,2.356,
1990-03,2.089,
1990-04,2.538,
1990-05,2.548,
1990-06,2.854,
1990-07,2.388,
1990-08,2.175,
1990-09,2.465,
1990-10,2.396,
1990-11,2.193,
1990-12,1.904,
1991-01,1.903,
1991-02,2.158,
1991-03,2.651,
1991-04,2.741,
1991-05,2.372,
1991-06,2.558,
1991-07,2.136,
1991-08,1.997,
1991-09,2.004,
1991-10,2.188,
1991-11,2.030,
1991-12,2.476,
1992-01,2.214,
1992-02,2.784,
1992-03,3.130,
1992-04,3.067,
1992-05,2.945,
1992-06,2.883,
1992-07,2.701,
1992-08,2.640,
1992-09,2.531,
1992-10,2.820,
1992-11,3.054,
1992-12,2.555,
1993-01,3.188,
1993-02,2.237,
1993-03,2.771,
1993-04,2.506,
1993-05,2.511,
1993-06,2.463,
1993-07,2.698,
1993-08,2.493,
1993-09,2.304,
1993-10,2.807,
1993-11,3.016,
1993-12,2.861,
1994-01,3.009,
1994-02,3.009,
