"",BBFN1.M.DE.N.1.A.LT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Lithuania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:31,
1995-01,0.035,
1995-02,0.034,
1995-03,0.038,
1995-04,0.040,
1995-05,0.040,
1995-06,0.042,
1995-07,0.043,
1995-08,0.043,
1995-09,0.039,
1995-10,0.041,
1995-11,0.044,
1995-12,0.033,
1996-01,0.034,
1996-02,0.044,
1996-03,0.044,
1996-04,0.047,
1996-05,0.045,
1996-06,0.050,
1996-07,0.049,
1996-08,0.049,
1996-09,0.052,
1996-10,0.051,
1996-11,0.052,
1996-12,0.055,
1997-01,0.057,
1997-02,0.058,
1997-03,0.065,
1997-04,0.070,
1997-05,0.071,
1997-06,0.072,
1997-07,0.074,
1997-08,0.075,
1997-09,0.070,
1997-10,0.078,
1997-11,0.083,
1997-12,0.080,
1998-01,0.074,
1998-02,0.076,
1998-03,0.084,
1998-04,0.090,
1998-05,0.093,
1998-06,0.096,
1998-07,0.102,
1998-08,0.103,
1998-09,0.105,
1998-10,0.118,
1998-11,0.105,
1998-12,0.105,
1999-01,0.104,
1999-02,0.110,
1999-03,0.116,
1999-04,0.118,
1999-05,0.118,
1999-06,0.116,
1999-07,0.120,
1999-08,0.124,
1999-09,0.147,
1999-10,0.128,
1999-11,0.130,
1999-12,0.132,
2000-01,0.133,
2000-02,0.125,
2000-03,0.134,
2000-04,0.133,
2000-05,0.132,
2000-06,0.136,
2000-07,0.137,
2000-08,0.135,
2000-09,0.140,
2000-10,0.149,
2000-11,0.148,
2000-12,0.144,
2001-01,0.137,
2001-02,0.139,
2001-03,0.143,
2001-04,0.146,
2001-05,0.140,
2001-06,0.141,
2001-07,0.151,
2001-08,0.152,
2001-09,0.150,
2001-10,0.158,
2001-11,0.151,
2001-12,0.153,
2002-01,0.140,
2002-02,0.144,
2002-03,0.135,
2002-04,0.135,
2002-05,0.138,
2002-06,0.151,
2002-07,0.136,
2002-08,0.135,
2002-09,0.134,
2002-10,0.143,
2002-11,0.144,
2002-12,0.129,
2003-01,0.123,
2003-02,0.128,
2003-03,0.141,
2003-04,0.139,
2003-05,0.139,
2003-06,0.144,
2003-07,0.148,
2003-08,0.153,
2003-09,0.140,
2003-10,0.147,
2003-11,0.151,
2003-12,0.138,
2004-01,0.137,
2004-02,0.142,
2004-03,0.148,
2004-04,0.156,
2004-05,0.160,
2004-06,0.166,
2004-07,0.165,
2004-08,0.153,
2004-09,0.162,
2004-10,0.174,
2004-11,0.172,
2004-12,0.160,
2005-01,0.167,
2005-02,0.173,
2005-03,0.188,
2005-04,0.255,
2005-05,0.249,
2005-06,0.255,
2005-07,0.250,
2005-08,0.252,
2005-09,0.247,
2005-10,0.243,
2005-11,0.188,
2005-12,0.193,
2006-01,0.177,
2006-02,0.183,
2006-03,0.193,
2006-04,0.200,
2006-05,0.205,
2006-06,0.208,
2006-07,0.213,
2006-08,0.219,
2006-09,0.223,
2006-10,0.223,
2006-11,0.236,
2006-12,0.223,
2007-01,0.217,
2007-02,0.222,
2007-03,0.219,
2007-04,0.227,
2007-05,0.238,
2007-06,0.242,
2007-07,0.254,
2007-08,0.244,
2007-09,0.239,
2007-10,0.243,
2007-11,0.236,
2007-12,0.230,
2008-01,0.238,
2008-02,0.256,
2008-03,0.261,
2008-04,0.272,
2008-05,0.281,
2008-06,0.289,
2008-07,0.290,
2008-08,0.285,
2008-09,0.276,
2008-10,0.311,
2008-11,0.284,
2008-12,0.277,
2009-01,0.270,
2009-02,0.259,
2009-03,0.251,
2009-04,0.274,
2009-05,0.263,
2009-06,0.261,
2009-07,0.264,
2009-08,0.354,
2009-09,0.358,
2009-10,0.358,
2009-11,0.362,
2009-12,0.356,
2010-01,0.354,
2010-02,0.351,
2010-03,0.361,
2010-04,0.362,
2010-05,0.374,
2010-06,0.378,
2010-07,0.380,
2010-08,0.384,
2010-09,0.375,
2010-10,0.437,
2010-11,0.436,
2010-12,0.391,
2011-01,0.378,
2011-02,0.378,
2011-03,0.377,
2011-04,0.378,
2011-05,0.378,
2011-06,0.387,
2011-07,0.388,
2011-08,0.374,
2011-09,0.366,
2011-10,0.366,
2011-11,0.357,
2011-12,0.361,
2012-01,0.349,
2012-02,0.355,
2012-03,0.350,
2012-04,0.360,
2012-05,0.371,
2012-06,0.371,
2012-07,0.375,
2012-08,0.359,
2012-09,0.519,
2012-10,0.522,
2012-11,0.514,
2012-12,0.507,
2013-01,0.493,
2013-02,0.496,
2013-03,0.501,
2013-04,0.513,
2013-05,0.511,
2013-06,0.498,
2013-07,0.503,
2013-08,0.521,
2013-09,0.505,
2013-10,0.527,
2013-11,0.546,
2013-12,0.514,
2014-01,0.508,
2014-02,0.527,
2014-03,0.537,
2014-04,0.522,
2014-05,0.628,
2014-06,0.637,
2014-07,0.646,
2014-08,0.639,
2014-09,0.641,
2014-10,0.650,
2014-11,0.665,
2014-12,0.648,
