"",BBK01.OEXM04V,BBK01.OEXM04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:53,
2002-01,0.434,
2002-04,0.361,
2002-07,0.489,
2002-10,0.439,
2003-01,0.318,
2003-04,0.280,
2003-07,0.324,
2003-10,0.532,
2004-01,0.246,
2004-04,0.225,
2004-07,0.193,
2004-10,0.318,
2005-01,0.220,
2005-04,0.181,
2005-07,0.190,
2005-10,0.216,
2006-01,0.195,
2006-04,0.486,
2006-07,0.672,
2006-10,0.351,
2007-01,0.462,
2007-04,0.499,
2007-07,0.535,
2007-10,0.556,
2008-01,0.814,
2008-04,0.845,
2008-07,0.712,
2008-10,0.464,
2009-01,0.231,
2009-04,0.095,
2009-07,0.053,
2009-10,0.069,
2010-01,0.024,
2010-04,0.061,
2010-07,0.065,
2010-10,0.060,
2011-01,0.260,
2011-04,0.100,
2011-07,0.355,
2011-10,0.516,
2012-01,0.527,
2012-04,0.465,
2012-07,0.491,
2012-10,0.497,
2013-01,0.523,
2013-04,0.598,
2013-07,0.698,
2013-10,0.927,
2014-01,0.683,
2014-04,0.749,
2014-07,0.865,
