"",BBK01.OEAH94P,BBK01.OEAH94P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:56,
2002-01,0.260,
2002-04,0.309,
2002-07,0.309,
2002-10,0.287,
2003-01,0.281,
2003-04,0.292,
2003-07,0.306,
2003-10,0.287,
2004-01,0.286,
2004-04,0.266,
2004-07,0.292,
2004-10,0.291,
2005-01,0.291,
2005-04,0.305,
2005-07,0.306,
2005-10,0.284,
2006-01,0.264,
2006-04,0.249,
2006-07,0.228,
2006-10,0.207,
2007-01,0.202,
2007-04,0.202,
2007-07,0.202,
2007-10,0.143,
2008-01,0.143,
2008-04,0.128,
2008-07,0.098,
2008-10,0.072,
2009-01,0.072,
2009-04,0.057,
2009-07,0.032,
2009-10,0.032,
2010-01,0.034,
2010-04,0.034,
2010-07,0.034,
2010-10,0.018,
2011-01,0.017,
2011-04,0.017,
2011-07,0.017,
2011-10,0.018,
2012-01,0.018,
2012-04,0.012,
2012-07,0.012,
2012-10,0.012,
2013-01,0.011,
2013-04,0.005,
2013-07,0.004,
2013-10,0.004,
2014-01,0.003,
2014-04,0.003,
2014-07,0.003,
