"",BBFB1.Q.N.DE.CA.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:39,
1991-01,3.953,
1991-04,10.415,
1991-07,13.274,
1991-10,13.343,
1992-01,9.171,
1992-04,8.826,
1992-07,7.411,
1992-10,7.609,
1993-01,7.480,
1993-04,11.621,
1993-07,2.698,
1993-10,1.770,
1994-01,8.785,
1994-04,-2.692,
1994-07,3.278,
1994-10,3.589,
1995-01,5.273,
1995-04,5.735,
1995-07,3.635,
1995-10,3.078,
1996-01,9.086,
1996-04,1.423,
1996-07,13.453,
1996-10,10.380,
1997-01,5.487,
1997-04,9.115,
1997-07,8.805,
1997-10,5.417,
1998-01,4.170,
1998-04,24.756,
1998-07,16.122,
1998-10,5.597,
1999-01,9.853,
1999-04,12.031,
1999-07,10.291,
1999-10,13.063,
2000-01,9.546,
2000-04,8.009,
2000-07,9.926,
2000-10,14.863,
2001-01,23.182,
2001-04,6.593,
2001-07,6.106,
2001-10,-1.168,
2002-01,3.937,
2002-04,0.843,
2002-07,8.958,
2002-10,8.007,
2003-01,11.664,
2003-04,4.116,
2003-07,6.758,
2003-10,7.645,
2004-01,6.974,
2004-04,20.070,
2004-07,7.638,
2004-10,44.425,
2005-01,9.343,
2005-04,9.370,
2005-07,4.988,
2005-10,7.054,
2006-01,11.104,
2006-04,33.521,
2006-07,4.769,
2006-10,6.483,
2007-01,14.184,
2007-04,12.704,
2007-07,7.973,
2007-10,1.515,
2008-01,2.710,
2008-04,12.929,
2008-07,3.049,
2008-10,5.835,
2009-01,65.531,
2009-04,28.751,
2009-07,24.756,
2009-10,4.781,
2010-01,7.688,
2010-04,4.903,
2010-07,3.106,
2010-10,2.804,
2011-01,12.046,
2011-04,16.690,
2011-07,10.919,
2011-10,14.660,
2012-01,15.656,
2012-04,21.301,
2012-07,13.192,
2012-10,4.668,
2013-01,7.455,
2013-04,14.708,
2013-07,8.795,
2013-10,1.432,
2014-01,0.520,Provisional value
2014-04,16.308,Provisional value
2014-07,16.081,Provisional value
