"",BBFB1.M.N.DE.W1.S1.S1.T.D.SC23._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SC23._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Air transport / Sonstige / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:25,
1991-01,49.287,
1991-02,53.523,
1991-03,87.708,
1991-04,88.162,
1991-05,82.467,
1991-06,101.740,
1991-07,117.833,
1991-08,95.019,
1991-09,116.687,
1991-10,118.291,
1991-11,112.790,
1991-12,174.396,
1992-01,54.867,
1992-02,86.455,
1992-03,83.193,
1992-04,110.767,
1992-05,104.087,
1992-06,129.626,
1992-07,118.957,
1992-08,104.998,
1992-09,132.656,
1992-10,136.641,
1992-11,111.866,
1992-12,192.624,
1993-01,47.336,
1993-02,91.335,
1993-03,117.390,
1993-04,99.652,
1993-05,113.844,
1993-06,137.623,
1993-07,125.267,
1993-08,116.498,
1993-09,123.212,
1993-10,121.517,
1993-11,113.628,
1993-12,176.806,
1994-01,34.852,
1994-02,71.363,
1994-03,92.379,
1994-04,98.143,
1994-05,108.828,
1994-06,99.225,
1994-07,119.013,
1994-08,113.257,
1994-09,109.845,
1994-10,106.812,
1994-11,129.575,
1994-12,150.453,
1995-01,33.732,
1995-02,53.925,
1995-03,117.034,
1995-04,87.293,
1995-05,118.953,
1995-06,112.350,
1995-07,110.136,
1995-08,126.637,
1995-09,107.445,
1995-10,104.383,
1995-11,120.672,
1995-12,161.401,
1996-01,50.895,
1996-02,92.815,
1996-03,126.202,
1996-04,123.777,
1996-05,147.769,
1996-06,129.380,
1996-07,159.236,
1996-08,139.206,
1996-09,144.920,
1996-10,162.296,
1996-11,145.758,
1996-12,221.211,
1997-01,70.345,
1997-02,132.098,
1997-03,140.242,
1997-04,152.797,
1997-05,163.791,
1997-06,137.610,
1997-07,183.008,
1997-08,151.157,
1997-09,157.416,
1997-10,167.137,
1997-11,122.833,
1997-12,244.664,
1998-01,39.693,
1998-02,93.749,
1998-03,124.250,
1998-04,128.627,
1998-05,135.665,
1998-06,148.021,
1998-07,167.079,
1998-08,161.115,
1998-09,153.281,
1998-10,148.432,
1998-11,164.073,
1998-12,267.521,
1999-01,56.794,
1999-02,89.737,
1999-03,128.829,
1999-04,139.414,
1999-05,140.479,
1999-06,140.180,
1999-07,155.257,
1999-08,163.912,
1999-09,174.364,
1999-10,152.946,
1999-11,157.359,
1999-12,275.650,
2000-01,65.082,
2000-02,102.973,
2000-03,139.835,
2000-04,139.050,
2000-05,153.394,
2000-06,153.573,
2000-07,169.387,
2000-08,173.450,
2000-09,165.419,
2000-10,173.344,
2000-11,171.527,
2000-12,267.191,
2001-01,74.507,
2001-02,104.569,
2001-03,132.989,
2001-04,158.276,
2001-05,162.336,
2001-06,155.391,
2001-07,180.238,
2001-08,187.580,
