"",BBDR1.Q.DE.N.VDP.VETWGESK.P.I03.A,BBDR1.Q.DE.N.VDP.VETWGESK.P.I03.A_FLAGS
"","Verband deutscher Pfandbriefbanken / Price index for owner occupied housing, owner-occupied apartments / Germany / Unadjusted figure",
unit,2003=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:39,
2003-01,99.7,
2003-04,98.7,
2003-07,100.6,
2003-10,100.9,
2004-01,100.1,
2004-04,100.4,
2004-07,101.3,
2004-10,101.1,
2005-01,105.1,
2005-04,105.2,
2005-07,103.5,
2005-10,104.9,
2006-01,103.7,
2006-04,104.2,
2006-07,105.7,
2006-10,104.2,
2007-01,103.4,
2007-04,103.8,
2007-07,104.5,
2007-10,105.4,
2008-01,105.4,
2008-04,104.8,
2008-07,101.7,
2008-10,102.9,
2009-01,104.4,
2009-04,105.6,
2009-07,105.8,
2009-10,107.3,
2010-01,105.6,
2010-04,105.0,
2010-07,105.5,
2010-10,107.7,
2011-01,109.1,
2011-04,110.6,
2011-07,111.0,
2011-10,111.2,
2012-01,111.8,
2012-04,114.0,
2012-07,115.5,
2012-10,117.7,
2013-01,118.2,
2013-04,120.8,
2013-07,121.0,
2013-10,121.4,
2014-01,123.0,
2014-04,123.5,
2014-07,124.1,
2014-10,125.4,
