"",BBK01.QUF827,BBK01.QUF827_FLAGS
"","All foreign subsidiaries: Liabilities to non-residents, total / Cyprus / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:49,
2004-12,0.202,
2005-01,0.205,
2005-02,0.207,
2005-03,0.293,
2005-04,0.416,
2005-05,0.357,
2005-06,0.345,
2005-07,0.329,
2005-08,0.326,
2005-09,0.273,
2005-10,0.329,
2005-11,0.322,
2005-12,0.327,
2006-01,0.339,
2006-02,0.496,
2006-03,0.315,
2006-04,0.388,
2006-05,0.526,
2006-06,0.440,
2006-07,0.546,
2006-08,0.654,
2006-09,0.427,
2006-10,0.459,
2006-11,0.335,
2006-12,0.430,
2007-01,0.312,
2007-02,0.263,
2007-03,0.238,
2007-04,0.236,
2007-05,0.180,
2007-06,0.240,
2007-07,0.262,
2007-08,0.269,
2007-09,0.266,
2007-10,0.277,
2007-11,0.392,
2007-12,0.366,
2008-01,1.435,
2008-02,1.204,
2008-03,1.662,
2008-04,1.636,
2008-05,1.409,
2008-06,1.406,
2008-07,1.066,
2008-08,0.940,
2008-09,0.925,
2008-10,1.000,
2008-11,0.986,
2008-12,1.192,
2009-01,0.996,
2009-02,1.170,
2009-03,0.652,
2009-04,0.344,
2009-05,0.447,
2009-06,0.208,
2009-07,0.323,
2009-08,0.495,
2009-09,0.455,
2009-10,0.290,
2009-11,0.206,
2009-12,0.163,
2010-01,0.159,
2010-02,0.157,
2010-03,0.156,
2010-04,0.207,
2010-05,0.335,
2010-06,0.395,
2010-07,0.424,
2010-08,0.619,
2010-09,0.806,
2010-10,0.676,
2010-11,0.672,
2010-12,0.442,
2011-01,0.394,
2011-02,0.460,
2011-03,0.506,
2011-04,0.512,
2011-05,0.514,
2011-06,0.500,
2011-07,0.447,
2011-08,0.473,
2011-09,0.920,
2011-10,0.834,
2011-11,1.021,
2011-12,0.509,
2012-01,0.474,
2012-02,0.493,
2012-03,0.502,
2012-04,0.516,
2012-05,0.517,
2012-06,0.525,
2012-07,0.570,
2012-08,0.612,
2012-09,0.667,
2012-10,0.625,
2012-11,0.548,
2012-12,0.688,
2013-01,0.577,
2013-02,0.558,
2013-03,0.861,
2013-04,0.692,
2013-05,0.610,
2013-06,0.592,
2013-07,0.540,
2013-08,0.548,
2013-09,0.503,
2013-10,0.490,
2013-11,0.481,
2013-12,0.402,
2014-01,0.457,
2014-02,0.473,
2014-03,0.497,
2014-04,0.465,
2014-05,0.405,
2014-06,0.464,
2014-07,0.548,
2014-08,0.484,
2014-09,0.433,
2014-10,0.553,
2014-11,0.653,
