"",BBK01.CEBW01,BBK01.CEBW01_FLAGS
"",Claims from company pension commitments debtor: All sectors                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:12,
1991-01,125.5,
1991-04,127.5,
1991-07,129.5,
1991-10,131.8,
1992-01,134.0,
1992-04,136.4,
1992-07,138.7,
1992-10,141.5,
1993-01,142.7,
1993-04,143.9,
1993-07,145.2,
1993-10,146.7,
1994-01,148.1,
1994-04,149.6,
1994-07,151.1,
1994-10,152.9,
1995-01,154.7,
1995-04,156.7,
1995-07,158.7,
1995-10,161.0,
1996-01,162.0,
1996-04,163.1,
1996-07,164.1,
1996-10,165.1,
1997-01,166.2,
1997-04,167.2,
1997-07,168.3,
1997-10,169.3,
1998-01,170.7,
1998-04,172.1,
1998-07,173.5,
1998-10,174.9,
1999-01,175.9,
1999-04,176.8,
1999-07,177.8,
1999-10,178.8,
2000-01,182.5,
2000-04,186.2,
2000-07,189.9,
2000-10,193.6,
2001-01,196.8,
2001-04,199.9,
2001-07,203.1,
2001-10,206.2,
2002-01,209.0,
2002-04,211.9,
2002-07,214.7,
2002-10,217.5,
2003-01,220.1,
2003-04,222.6,
2003-07,225.2,
2003-10,227.8,
2004-01,230.1,
2004-04,232.4,
2004-07,234.8,
2004-10,237.1,
2005-01,238.9,
2005-04,240.7,
2005-07,242.6,
2005-10,244.4,
2006-01,246.9,
2006-04,249.5,
2006-07,252.0,
2006-10,254.7,
2007-01,255.8,
2007-04,256.9,
2007-07,258.0,
2007-10,259.2,
2008-01,261.0,
2008-04,262.8,
2008-07,264.6,
2008-10,266.5,
2009-01,269.0,
2009-04,271.5,
2009-07,274.0,
2009-10,276.5,
2010-01,278.4,
2010-04,280.4,
2010-07,282.3,
2010-10,284.3,
2011-01,287.0,
2011-04,289.9,
2011-07,292.6,
2011-10,295.4,
2012-01,298.3,
2012-04,301.4,
2012-07,304.3,
2012-10,307.3,
2013-01,310.0,
2013-04,312.8,
2013-07,315.5,
2013-10,318.2,
2014-01,320.9,
