"",BBSF2.M.1.S.00000.GEF01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEF01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Mixed funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:05,
2009-09,42432,
2009-10,43192,
2009-11,44141,
2009-12,43878,
2010-01,44326,
2010-02,44865,
2010-03,46778,
2010-04,47099,
2010-05,46648,
2010-06,45987,
2010-07,46721,
2010-08,47809,
2010-09,48214,
2010-10,47836,
2010-11,46438,
2010-12,43756,
2011-01,43617,
2011-02,44262,
2011-03,44285,
2011-04,45035,
2011-05,45538,
2011-06,44909,
2011-07,45465,
2011-08,44945,
2011-09,44620,
2011-10,44157,
2011-11,43556,
2011-12,45072,
2012-01,47076,
2012-02,48262,
2012-03,48812,
2012-04,49030,
2012-05,49102,
2012-06,50108,
2012-07,51456,
2012-08,51302,
2012-09,51614,
2012-10,52530,
2012-11,53789,
2012-12,54606,
2013-01,55065,
2013-02,55671,
2013-03,55342,
2013-04,56099,
2013-05,55990,
2013-06,54656,
2013-07,55083,
2013-08,54784,
2013-09,54857,
2013-10,53772,
2013-11,53988,
2013-12,53451,
2014-01,54558,
2014-02,54475,
2014-03,55163,
2014-04,55519,
2014-05,56639,
2014-06,55905,
2014-07,54505,
2014-08,51062,
2014-09,50812,
2014-10,54077,
2014-11,54683,
