"",BBK01.OEXB08M,BBK01.OEXB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:48,
2002-01,13.499,
2002-04,13.622,
2002-07,13.765,
2002-10,13.701,
2003-01,13.884,
2003-04,14.022,
2003-07,14.054,
2003-10,14.193,
2004-01,14.123,
2004-04,14.287,
2004-07,14.509,
2004-10,13.853,
2005-01,13.890,
2005-04,14.032,
2005-07,14.312,
2005-10,14.396,
2006-01,14.467,
2006-04,14.595,
2006-07,14.664,
2006-10,14.350,
2007-01,14.442,
2007-04,14.501,
2007-07,14.640,
2007-10,14.730,
2008-01,14.659,
2008-04,14.921,
2008-07,14.199,
2008-10,14.239,
2009-01,14.378,
2009-04,14.702,
2009-07,14.795,
2009-10,14.416,
2010-01,14.504,
2010-04,14.713,
2010-07,15.026,
2010-10,15.275,
2011-01,16.243,
2011-04,16.414,
2011-07,16.550,
2011-10,16.593,
2012-01,16.671,
2012-04,16.942,
2012-07,17.174,
2012-10,17.332,
2013-01,17.355,
2013-04,17.598,
2013-07,17.622,
2013-10,17.672,
2014-01,17.594,
2014-04,17.972,
2014-07,17.969,
