"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:15,
1991-01,199.818,
1991-04,-123.770,
1991-07,-357.534,
1991-10,-108.378,
1992-01,-511.193,
1992-04,-226.040,
1992-07,169.832,
1992-10,434.936,
1993-01,-350.014,
1993-04,-124.359,
1993-07,587.594,
1993-10,1732.247,
1994-01,-746.490,
1994-04,-547.161,
1994-07,-925.072,
1994-10,-277.134,
1995-01,830.662,
1995-04,369.855,
1995-07,828.622,
1995-10,355.860,
1996-01,656.256,
1996-04,351.488,
1996-07,-330.221,
1996-10,1537.121,
1997-01,-659.832,
1997-04,418.440,
1997-07,1136.357,
1997-10,-319.784,
1998-01,-2326.763,
1998-04,-791.405,
1998-07,-1075.683,
1998-10,404.515,
1999-01,320.061,
1999-04,-375.485,
1999-07,1211.501,
1999-10,1701.765,
2000-01,-350.857,
2000-04,196.198,
2000-07,2425.183,
2000-10,340.237,
2001-01,799.367,
2001-04,1042.491,
2001-07,-2012.248,
2001-10,2516.006,
2002-01,756.222,
2002-04,-531.141,
2002-07,757.728,
2002-10,450.224,
2003-01,-601.263,
2003-04,738.573,
2003-07,701.130,
2003-10,-1347.765,
2004-01,1942.109,
2004-04,-1103.978,
2004-07,-2073.572,
2004-10,1700.493,
2005-01,-574.308,
2005-04,4188.690,
2005-07,-3169.831,
2005-10,368.271,
2006-01,-537.887,
2006-04,2895.161,
2006-07,-93.770,
2006-10,-356.045,
2007-01,2351.407,
2007-04,883.535,
2007-07,3464.304,
2007-10,564.866,
2008-01,138.068,
2008-04,4836.514,
2008-07,6092.937,
2008-10,-3897.928,
2009-01,-1587.677,
2009-04,-1002.975,
2009-07,-614.894,
2009-10,-2076.544,
2010-01,-58.735,
2010-04,904.383,
2010-07,-1924.034,
2010-10,3160.138,
2011-01,-2926.439,
2011-04,75.530,
2011-07,-2834.937,
2011-10,808.280,
2012-01,-40.177,
2012-04,-1375.704,
2012-07,-1407.282,
2012-10,-367.022,
2013-01,2120.145,
2013-04,-753.154,
2013-07,1324.459,
2013-10,2071.686,
2014-01,-2461.352,Provisional value
2014-04,2269.033,Provisional value
2014-07,-342.355,Provisional value
2014-10,-6064.678,Provisional value
