"",BBK01.OEAC49P,BBK01.OEAC49P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:52,
2002-01,0.267,
2002-04,0.270,
2002-07,0.270,
2002-10,0.279,
2003-01,0.266,
2003-04,0.261,
2003-07,0.257,
2003-10,0.257,
2004-01,0.252,
2004-04,0.255,
2004-07,0.254,
2004-10,0.248,
2005-01,0.250,
2005-04,0.256,
2005-07,0.258,
2005-10,0.261,
2006-01,0.264,
2006-04,0.262,
2006-07,0.269,
2006-10,0.273,
2007-01,0.276,
2007-04,0.273,
2007-07,0.281,
2007-10,0.287,
2008-01,0.290,
2008-04,0.284,
2008-07,0.291,
2008-10,0.295,
2009-01,0.454,
2009-04,0.455,
2009-07,0.472,
2009-10,0.478,
2010-01,0.487,
2010-04,0.535,
2010-07,0.499,
2010-10,0.496,
2011-01,0.501,
2011-04,0.511,
2011-07,0.497,
2011-10,0.492,
2012-01,0.484,
2012-04,0.454,
2012-07,0.495,
2012-10,0.492,
2013-01,0.492,
2013-04,0.489,
2013-07,0.492,
2013-10,0.490,
2014-01,0.494,
2014-04,0.484,
2014-07,0.480,
