"",BBK01.OELB19Q,BBK01.OELB19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:02,
2002-01,0.485,
2002-04,0.488,
2002-07,0.484,
2002-10,0.470,
2003-01,0.454,
2003-04,0.452,
2003-07,0.442,
2003-10,0.427,
2004-01,0.415,
2004-04,0.405,
2004-07,0.400,
2004-10,0.388,
2005-01,0.373,
2005-04,0.364,
2005-07,0.363,
2005-10,0.352,
2006-01,0.336,
2006-04,0.328,
2006-07,0.320,
2006-10,0.304,
2007-01,0.299,
2007-04,0.296,
2007-07,0.295,
2007-10,0.284,
2008-01,0.274,
2008-04,0.262,
2008-07,0.261,
2008-10,0.251,
2009-01,0.244,
2009-04,0.241,
2009-07,0.243,
2009-10,0.235,
2010-01,0.234,
2010-04,0.230,
2010-07,0.233,
2010-10,0.236,
2011-01,0.241,
2011-04,0.246,
2011-07,0.253,
2011-10,0.249,
2012-01,0.259,
2012-04,0.271,
2012-07,0.276,
2012-10,0.268,
2013-01,0.274,
2013-04,0.271,
2013-07,0.276,
2013-10,0.271,
2014-01,0.264,
2014-04,0.260,
2014-07,0.257,
