"",BBK01.OEBL01R,BBK01.OEBL01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:03,
2002-01,1.513,
2002-04,1.442,
2002-07,1.437,
2002-10,1.487,
2003-01,1.451,
2003-04,1.413,
2003-07,1.426,
2003-10,1.426,
2004-01,1.405,
2004-04,1.374,
2004-07,1.374,
2004-10,1.398,
2005-01,2.180,
2005-04,2.174,
2005-07,2.160,
2005-10,2.208,
2006-01,2.232,
2006-04,2.209,
2006-07,2.195,
2006-10,2.235,
2007-01,2.357,
2007-04,2.407,
2007-07,2.463,
2007-10,2.574,
2008-01,2.619,
2008-04,2.694,
2008-07,2.785,
2008-10,2.995,
2009-01,2.985,
2009-04,2.972,
2009-07,2.972,
2009-10,2.993,
2010-01,2.909,
2010-04,2.948,
2010-07,2.946,
2010-10,3.021,
2011-01,3.048,
2011-04,3.099,
2011-07,3.137,
2011-10,3.261,
2012-01,3.302,
2012-04,3.303,
2012-07,3.323,
2012-10,3.343,
2013-01,3.317,
2013-04,3.270,
2013-07,3.274,
2013-10,3.302,
2014-01,3.309,
2014-04,3.325,
2014-07,3.413,
