"",BBFB1.M.N.DE.W1.S1.S1.T.C.SI._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SI._Z._Z._Z._T._X.N_FLAGS
"","Current account / Telecommunications, computer and information services / Receipts / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:46,
1991-01,53.683,
1991-02,171.427,
1991-03,89.020,
1991-04,107.835,
1991-05,121.017,
1991-06,64.630,
1991-07,54.858,
1991-08,68.356,
1991-09,44.316,
1991-10,68.281,
1991-11,87.626,
1991-12,199.913,
1992-01,115.681,
1992-02,276.102,
1992-03,48.338,
1992-04,110.705,
1992-05,46.000,
1992-06,206.451,
1992-07,63.657,
1992-08,158.556,
1992-09,223.285,
1992-10,388.059,
1992-11,112.380,
1992-12,209.090,
1993-01,78.700,
1993-02,70.603,
1993-03,60.822,
1993-04,51.263,
1993-05,79.170,
1993-06,70.386,
1993-07,83.448,
1993-08,71.295,
1993-09,46.135,
1993-10,91.000,
1993-11,75.282,
1993-12,60.236,
1994-01,87.037,
1994-02,41.329,
1994-03,89.152,
1994-04,54.789,
1994-05,61.418,
1994-06,77.039,
1994-07,92.655,
1994-08,82.087,
1994-09,57.903,
1994-10,75.376,
1994-11,64.189,
1994-12,282.685,
1995-01,222.253,
1995-02,176.572,
1995-03,212.217,
1995-04,105.292,
1995-05,180.068,
1995-06,195.486,
1995-07,219.735,
1995-08,165.478,
1995-09,166.404,
1995-10,210.352,
1995-11,216.242,
1995-12,197.899,
1996-01,261.647,
1996-02,165.577,
1996-03,133.342,
1996-04,225.494,
1996-05,147.445,
1996-06,218.086,
1996-07,217.395,
1996-08,178.950,
1996-09,174.423,
1996-10,193.579,
1996-11,278.296,
1996-12,345.400,
1997-01,299.440,
1997-02,208.135,
1997-03,168.427,
1997-04,294.709,
1997-05,226.485,
1997-06,218.071,
1997-07,331.193,
1997-08,294.258,
1997-09,224.894,
1997-10,390.490,
1997-11,315.058,
1997-12,484.510,
1998-01,385.612,
1998-02,247.310,
1998-03,350.659,
1998-04,211.432,
1998-05,359.290,
1998-06,375.030,
1998-07,250.024,
1998-08,333.975,
1998-09,409.074,
1998-10,290.493,
1998-11,236.496,
1998-12,606.284,
1999-01,267.564,
1999-02,272.640,
1999-03,231.737,
1999-04,381.797,
1999-05,265.453,
1999-06,486.945,
1999-07,289.414,
1999-08,364.744,
1999-09,347.598,
1999-10,308.964,
1999-11,387.837,
1999-12,614.873,
2000-01,455.215,
2000-02,306.988,
2000-03,667.618,
2000-04,341.847,
2000-05,439.278,
2000-06,543.172,
2000-07,348.891,
2000-08,326.052,
2000-09,512.043,
2000-10,316.664,
2000-11,453.842,
2000-12,789.784,
2001-01,392.033,
2001-02,543.465,
2001-03,532.657,
2001-04,499.819,
2001-05,553.748,
2001-06,742.834,
2001-07,496.033,
2001-08,499.914,
2001-09,529.423,
2001-10,517.018,
2001-11,509.358,
2001-12,1035.509,
2002-01,606.015,
2002-02,481.172,
2002-03,602.806,
2002-04,460.859,
2002-05,433.130,
2002-06,677.700,
2002-07,419.354,
2002-08,489.276,
2002-09,728.572,
2002-10,495.878,
2002-11,499.242,
2002-12,1512.662,
2003-01,539.717,
2003-02,590.833,
2003-03,779.529,
2003-04,690.297,
2003-05,452.646,
2003-06,809.512,
2003-07,460.873,
2003-08,402.216,
2003-09,751.995,
2003-10,585.877,
2003-11,513.653,
2003-12,1144.615,
2004-01,640.472,
2004-02,598.986,
2004-03,759.743,
2004-04,595.900,
2004-05,595.325,
2004-06,872.115,
2004-07,581.309,
2004-08,579.640,
2004-09,810.648,
2004-10,600.872,
2004-11,669.194,
2004-12,1272.685,
2005-01,660.327,
2005-02,637.147,
2005-03,800.776,
2005-04,643.686,
2005-05,653.232,
2005-06,638.251,
2005-07,626.547,
2005-08,648.751,
2005-09,940.204,
2005-10,656.856,
2005-11,670.794,
2005-12,1342.337,
2006-01,819.143,
2006-02,688.332,
2006-03,999.394,
2006-04,716.399,
2006-05,702.630,
2006-06,1036.647,
2006-07,711.181,
2006-08,738.231,
2006-09,980.156,
2006-10,749.918,
2006-11,815.846,
2006-12,1704.573,
2007-01,797.794,
2007-02,721.259,
2007-03,1032.415,
2007-04,676.554,
2007-05,873.078,
2007-06,1157.813,
2007-07,842.720,
2007-08,820.586,
2007-09,1290.412,
2007-10,810.654,
2007-11,872.351,
2007-12,1977.077,
2008-01,915.421,
2008-02,895.624,
2008-03,1055.991,
2008-04,833.363,
2008-05,1015.755,
2008-06,1438.640,
2008-07,1020.486,
2008-08,864.324,
2008-09,1176.012,
2008-10,929.100,
2008-11,989.773,
2008-12,2046.881,
2009-01,879.675,
2009-02,861.842,
2009-03,1144.466,
2009-04,974.883,
2009-05,1030.505,
2009-06,1236.280,
2009-07,1109.291,
2009-08,898.108,
2009-09,1112.102,
2009-10,865.778,
2009-11,1094.403,
2009-12,2038.774,
2010-01,885.816,
2010-02,1029.157,
2010-03,1443.436,
2010-04,1132.906,
2010-05,1197.121,
2010-06,1453.767,
2010-07,1220.685,
2010-08,1119.576,
2010-09,1363.872,
2010-10,1060.590,
2010-11,1321.785,
2010-12,2505.006,
2011-01,1091.935,
2011-02,1027.640,
2011-03,1464.964,
2011-04,1225.777,
2011-05,1205.500,
2011-06,1469.344,
2011-07,1240.535,
2011-08,1154.420,
2011-09,1568.983,
2011-10,1241.851,
2011-11,1367.912,
2011-12,2861.212,
2012-01,1305.936,
2012-02,1251.421,
2012-03,1673.917,
2012-04,1354.998,
2012-05,1367.156,
2012-06,2035.538,
2012-07,1513.207,
2012-08,1353.886,
2012-09,1757.698,
2012-10,1530.041,
2012-11,1469.526,
2012-12,2716.175,
2013-01,1471.109,
2013-02,1118.980,
2013-03,1691.389,
2013-04,1647.079,
2013-05,1412.835,
2013-06,2036.931,
2013-07,1550.330,
2013-08,1358.081,
2013-09,2186.934,
2013-10,1702.509,
2013-11,1763.187,
2013-12,3234.475,
2014-01,1633.033,
2014-02,1512.919,Provisional value
2014-03,1822.860,Provisional value
2014-04,1507.876,Provisional value
2014-05,1659.799,Provisional value
2014-06,2385.313,Provisional value
2014-07,1574.643,Provisional value
2014-08,1452.164,Provisional value
2014-09,1956.911,
2014-10,1699.659,
2014-11,1593.841,
2014-12,3122.282,Provisional value
