"",BBFN1.M.DE.N.1.A.R12.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:57,
1978-12,0.116,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.073,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.168,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.174,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,0.252,
1983-01,0.275,
1983-02,0.277,
1983-03,0.231,
1983-04,0.259,
1983-05,0.234,
1983-06,0.240,
1983-07,0.246,
1983-08,0.301,
1983-09,0.327,
1983-10,0.286,
1983-11,0.332,
1983-12,0.373,
1984-01,0.394,
1984-02,0.505,
1984-03,0.597,
1984-04,0.664,
1984-05,0.578,
1984-06,0.559,
1984-07,0.369,
1984-08,0.417,
1984-09,0.768,
1984-10,0.570,
1984-11,0.447,
1984-12,0.422,
1985-01,0.343,
1985-02,0.289,
1985-03,0.388,
1985-04,0.487,
1985-05,0.421,
1985-06,0.658,
1985-07,0.550,
1985-08,0.670,
1985-09,0.624,
1985-10,0.781,
1985-11,0.686,
1985-12,0.644,
1986-01,0.690,
1986-02,0.737,
1986-03,0.617,
1986-04,0.738,
1986-05,0.801,
1986-06,0.815,
1986-07,0.872,
1986-08,0.931,
1986-09,0.946,
1986-10,1.232,
1986-11,1.167,
1986-12,1.533,
1987-01,1.267,
1987-02,1.094,
1987-03,1.138,
1987-04,1.167,
1987-05,1.052,
1987-06,1.162,
1987-07,1.295,
1987-08,1.094,
1987-09,1.208,
1987-10,1.702,
1987-11,1.439,
1987-12,1.097,
1988-01,1.421,
1988-02,1.313,
1988-03,1.326,
1988-04,1.597,
1988-05,1.623,
1988-06,1.478,
1988-07,1.413,
1988-08,1.635,
1988-09,1.510,
1988-10,1.687,
1988-11,1.783,
1988-12,1.479,
1989-01,1.949,
1989-02,1.761,
1989-03,2.028,
1989-04,1.973,
1989-05,1.802,
1989-06,1.496,
1989-07,1.769,
1989-08,1.616,
1989-09,1.368,
1989-10,1.392,
1989-11,1.578,
1989-12,1.366,
1990-01,1.564,
1990-02,1.455,
1990-03,1.546,
1990-04,1.377,
1990-05,1.397,
1990-06,1.602,
1990-07,1.401,
1990-08,1.311,
1990-09,1.334,
1990-10,1.270,
1990-11,1.373,
1990-12,1.203,
1991-01,1.234,
1991-02,1.221,
1991-03,1.393,
1991-04,1.377,
1991-05,1.481,
1991-06,1.452,
1991-07,1.588,
1991-08,1.546,
1991-09,1.370,
1991-10,1.585,
1991-11,1.360,
1991-12,1.402,
1992-01,1.669,
1992-02,1.768,
1992-03,1.730,
1992-04,1.625,
1992-05,1.719,
1992-06,1.739,
1992-07,1.865,
1992-08,1.696,
1992-09,1.661,
1992-10,1.839,
1992-11,1.866,
1992-12,1.610,
1993-01,1.680,
1993-02,1.491,
1993-03,1.691,
1993-04,1.912,
1993-05,1.773,
1993-06,1.860,
1993-07,1.703,
1993-08,1.914,
1993-09,1.692,
1993-10,1.884,
1993-11,1.928,
1993-12,1.666,
1994-01,1.872,
1994-02,1.855,
1994-03,2.278,
1994-04,2.625,
1994-05,2.285,
1994-06,2.643,
1994-07,2.878,
1994-08,2.904,
1994-09,3.242,
1994-10,3.329,
1994-11,3.346,
1994-12,3.121,
1995-01,2.785,
1995-02,3.029,
1995-03,3.264,
1995-04,3.099,
1995-05,3.773,
1995-06,3.536,
1995-07,4.205,
1995-08,3.893,
1995-09,3.957,
1995-10,3.733,
1995-11,3.031,
1995-12,2.832,
1996-01,2.869,
1996-02,2.753,
1996-03,2.429,
1996-04,3.020,
1996-05,2.781,
1996-06,2.971,
1996-07,2.903,
1996-08,2.860,
1996-09,2.972,
1996-10,2.901,
1996-11,3.345,
1996-12,3.183,
1997-01,3.186,
1997-02,2.947,
1997-03,3.068,
1997-04,3.711,
1997-05,3.672,
1997-06,3.254,
1997-07,2.915,
1997-08,2.583,
1997-09,2.895,
1997-10,2.469,
1997-11,2.291,
1997-12,2.693,
1998-01,2.696,
1998-02,2.803,
1998-03,2.611,
1998-04,2.392,
1998-05,2.803,
1998-06,2.906,
1998-07,2.532,
1998-08,1.933,
1998-09,2.143,
1998-10,2.177,
1998-11,2.385,
1998-12,2.126,
1999-01,2.100,
1999-02,1.986,
1999-03,2.466,
1999-04,2.933,
1999-05,2.795,
1999-06,3.147,
1999-07,3.095,
1999-08,2.897,
1999-09,3.266,
1999-10,2.965,
1999-11,3.120,
1999-12,2.770,
2000-01,3.289,
2000-02,3.092,
2000-03,4.687,
2000-04,5.374,
2000-05,6.937,
2000-06,6.706,
2000-07,6.971,
2000-08,8.318,
2000-09,8.773,
2000-10,9.462,
2000-11,8.725,
2000-12,7.790,
2001-01,8.186,
2001-02,9.002,
2001-03,9.826,
2001-04,10.225,
2001-05,10.575,
2001-06,9.746,
2001-07,9.057,
2001-08,9.172,
2001-09,9.360,
2001-10,9.248,
2001-11,4.811,
2001-12,6.340,
2002-01,5.233,
2002-02,3.828,
2002-03,3.704,
2002-04,4.851,
2002-05,2.999,
2002-06,3.030,
2002-07,2.552,
2002-08,2.317,
2002-09,2.723,
2002-10,2.381,
2002-11,2.357,
2002-12,2.132,
2003-01,2.875,
2003-02,3.429,
2003-03,3.916,
2003-04,3.188,
2003-05,3.293,
2003-06,3.410,
2003-07,3.376,
2003-08,2.993,
2003-09,3.492,
2003-10,4.044,
2003-11,3.857,
2003-12,2.747,
2004-01,3.184,
2004-02,5.147,
2004-03,4.997,
2004-04,4.964,
2004-05,4.854,
2004-06,4.771,
2004-07,5.170,
2004-08,3.026,
2004-09,2.939,
2004-10,3.216,
2004-11,2.994,
2004-12,3.532,
2005-01,3.462,
2005-02,3.548,
2005-03,3.230,
2005-04,3.145,
2005-05,3.067,
2005-06,3.064,
2005-07,3.054,
2005-08,3.329,
2005-09,3.180,
2005-10,3.803,
2005-11,4.054,
2005-12,3.138,
2006-01,3.157,
2006-02,3.910,
2006-03,3.196,
2006-04,3.503,
2006-05,3.444,
2006-06,3.508,
2006-07,3.461,
2006-08,3.330,
2006-09,3.782,
2006-10,3.509,
2006-11,3.635,
2006-12,3.463,
2007-01,3.515,
2007-02,3.434,
2007-03,2.801,
2007-04,2.291,
2007-05,2.430,
2007-06,2.671,
2007-07,2.607,
2007-08,2.060,
2007-09,1.986,
2007-10,1.965,
2007-11,1.947,
2007-12,1.976,
2008-01,1.958,
2008-02,1.976,
2008-03,1.865,
2008-04,2.534,
2008-05,2.570,
2008-06,2.405,
2008-07,2.485,
2008-08,2.559,
2008-09,2.587,
2008-10,2.628,
2008-11,2.466,
2008-12,2.886,
2009-01,2.577,
2009-02,2.503,
2009-03,2.415,
2009-04,2.457,
2009-05,2.443,
2009-06,2.607,
2009-07,2.316,
2009-08,2.188,
2009-09,2.458,
2009-10,2.252,
2009-11,2.228,
2009-12,1.603,
2010-01,1.904,
2010-02,1.780,
2010-03,1.557,
2010-04,1.688,
2010-05,1.795,
2010-06,1.792,
2010-07,1.961,
2010-08,1.948,
2010-09,1.743,
2010-10,1.981,
2010-11,2.018,
2010-12,2.090,
2011-01,2.086,
2011-02,1.971,
2011-03,1.904,
2011-04,1.985,
2011-05,1.884,
2011-06,1.813,
2011-07,1.976,
2011-08,1.989,
2011-09,2.031,
2011-10,1.968,
2011-11,2.552,
2011-12,2.339,
2012-01,2.431,
2012-02,2.485,
2012-03,2.407,
2012-04,2.895,
2012-05,3.002,
2012-06,3.186,
2012-07,4.131,
2012-08,3.824,
2012-09,4.225,
2012-10,4.104,
2012-11,3.842,
2012-12,3.804,
2013-01,3.414,
2013-02,3.412,
2013-03,3.496,
2013-04,3.494,
2013-05,3.522,
2013-06,3.818,
2013-07,3.383,
2013-08,3.620,
2013-09,3.844,
2013-10,4.323,
2013-11,4.910,
2013-12,3.797,
2014-01,3.709,
2014-02,3.770,
2014-03,4.623,
2014-04,4.730,
2014-05,4.955,
2014-06,5.299,
2014-07,5.506,
2014-08,5.658,
2014-09,5.085,
2014-10,5.332,
2014-11,5.009,
2014-12,4.862,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
