"",BBK01.OEXJ10L,BBK01.OEXJ10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:20,
2002-01,0.947,
2002-04,0.849,
2002-07,0.846,
2002-10,0.756,
2003-01,0.720,
2003-04,0.771,
2003-07,0.753,
2003-10,0.254,
2004-01,0.272,
2004-04,0.183,
2004-07,0.172,
2004-10,0.152,
2005-01,0.151,
2005-04,0.149,
2005-07,0.147,
2005-10,0.277,
2006-01,0.270,
2006-04,0.275,
2006-07,0.434,
2006-10,0.430,
2007-01,0.530,
2007-04,0.463,
2007-07,0.478,
2007-10,0.521,
2008-01,0.518,
2008-04,0.508,
2008-07,0.126,
2008-10,0.231,
2009-01,0.253,
2009-04,0.403,
2009-07,0.408,
2009-10,0.408,
2010-01,0.395,
2010-04,0.320,
2010-07,0.289,
2010-10,0.292,
2011-01,0.230,
2011-04,0.228,
2011-07,0.227,
2011-10,0.236,
2012-01,0.065,
2012-04,0.081,
2012-07,0.150,
2012-10,0.111,
2013-01,0.095,
2013-04,0.095,
2013-07,0.094,
2013-10,0.094,
2014-01,0.062,
2014-04,0.062,
2014-07,0.060,
