"",BBEX3.M.BOB.USD.CA.AC.A01,BBEX3.M.BOB.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Plurinational State of Bolivia / USD 1 = BOB ... (middle),
unit,BOB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:18,
1990-01,3.0050,
1990-02,3.0450,
1990-03,3.0750,
1990-04,3.1050,
1990-05,3.1350,
1990-06,3.1450,
1990-07,3.1750,
1990-08,3.2150,
1990-09,3.2550,
1990-10,3.3000,
1990-11,3.3450,
1990-12,3.3950,
1991-01,3.4550,
1991-02,3.4750,
1991-03,3.5050,
1991-04,3.5250,
1991-05,3.5550,
1991-06,3.5850,
1991-07,3.6050,
1991-08,3.6250,
1991-09,3.6550,
1991-10,3.6850,
1991-11,3.7050,
1991-12,3.7450,
1992-01,3.7550,
1992-02,3.7850,
1992-03,3.8050,
1992-04,3.8250,
1992-05,3.8550,
1992-06,3.8750,
1992-07,3.9150,
1992-08,3.9650,
1992-09,4.0050,
1992-10,4.0350,
1992-11,4.0550,
1992-12,4.0950,
1993-01,4.1150,
1993-02,4.1450,
1993-03,4.1750,
1993-04,4.2050,
1993-05,4.2350,
1993-06,4.2650,
1993-07,4.2950,
1993-08,4.3150,
1993-09,4.3450,
1993-10,4.3850,
1993-11,4.4250,
1993-12,4.4650,
1994-01,4.4950,
1994-02,4.5250,
1994-03,4.5750,
1994-04,4.5950,
1994-05,4.6250,
1994-06,4.6650,
1994-07,4.6450,
1994-08,4.6750,
1994-09,4.6650,
1994-10,4.6750,
1994-11,4.6950,
1994-12,4.6950,
1995-01,4.7250,
1995-02,4.7150,
1995-03,4.7550,
1995-04,4.7550,
1995-05,4.7650,
1995-06,4.7950,
1995-07,4.8050,
1995-08,4.8350,
1995-09,4.8550,
1995-10,4.8550,
1995-11,4.8950,
1995-12,4.9350,
1996-01,4.9750,
1996-02,4.9850,
1996-03,5.0050,
1996-04,5.0450,
1996-05,5.0650,
1996-06,5.0650,
1996-07,5.1050,
1996-08,5.1250,
1996-09,5.1450,
1996-10,5.1850,
1996-11,5.1650,
1996-12,5.1850,
1997-01,5.2050,
1997-02,5.2150,
1997-03,5.2250,
1997-04,5.2250,
1997-05,5.2150,
1997-06,5.2250,
1997-07,5.2450,
1997-08,5.2650,
1997-09,5.2850,
1997-10,5.3150,
1997-11,5.3350,
1997-12,5.3650,
1998-01,5.3850,
1998-02,5.4050,
1998-03,5.4450,
1998-04,5.4750,
1998-05,5.4950,
1998-06,5.5150,
1998-07,5.5350,
1998-08,5.5450,
1998-09,5.5750,
1998-10,5.5950,
1998-11,5.6150,
1998-12,5.6450,
1999-01,5.6550,
1999-02,5.6900,
1999-03,5.7200,
1999-04,5.7500,
1999-05,5.7900,
1999-06,5.8100,
1999-07,5.8500,
1999-08,5.8900,
1999-09,5.9200,
1999-10,5.9600,
1999-11,5.9800,
1999-12,6.0000,
2000-01,6.0300,
2000-02,6.0600,
2000-03,6.1000,
2000-04,6.1300,
2000-05,6.1600,
2000-06,6.1900,
2000-07,6.2200,
2000-08,6.2500,
2000-09,6.2900,
2000-10,6.3200,
2000-11,6.3600,
2000-12,6.4000,
2001-01,6.4300,
2001-02,6.4500,
2001-03,6.4900,
2001-04,6.5200,
2001-05,6.5700,
2001-06,6.6000,
2001-07,6.6600,
2001-08,6.7000,
2001-09,6.7400,
