"",BBK01.OEAD26Q,BBK01.OEAD26Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:22,
2002-01,0.127,
2002-04,0.169,
2002-07,0.225,
2002-10,0.078,
2003-01,0.085,
2003-04,0.067,
2003-07,0.083,
2003-10,0.077,
2004-01,0.095,
2004-04,0.101,
2004-07,0.096,
2004-10,0.101,
2005-01,0.114,
2005-04,0.106,
2005-07,0.121,
2005-10,0.120,
2006-01,0.125,
2006-04,0.125,
2006-07,0.147,
2006-10,0.209,
2007-01,0.181,
2007-04,0.199,
2007-07,0.205,
2007-10,0.248,
2008-01,0.106,
2008-04,0.113,
2008-07,0.149,
2008-10,0.142,
2009-01,0.139,
2009-04,0.159,
2009-07,0.188,
2009-10,0.190,
2010-01,0.197,
2010-04,0.194,
2010-07,0.120,
2010-10,0.094,
2011-01,0.083,
2011-04,0.077,
2011-07,0.070,
2011-10,0.083,
2012-01,0.079,
2012-04,0.088,
2012-07,0.093,
2012-10,0.062,
2013-01,0.063,
2013-04,0.040,
2013-07,0.054,
2013-10,0.052,
2014-01,0.048,
2014-04,0.043,
2014-07,0.041,
