"",BBK01.OEAF22K,BBK01.OEAF22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:05,
2002-01,1.726,
2002-04,1.699,
2002-07,1.752,
2002-10,2.694,
2003-01,2.609,
2003-04,3.164,
2003-07,3.878,
2003-10,3.375,
2004-01,3.369,
2004-04,3.171,
2004-07,3.270,
2004-10,3.537,
2005-01,3.057,
2005-04,2.962,
2005-07,3.120,
2005-10,3.113,
2006-01,3.075,
2006-04,3.130,
2006-07,3.194,
2006-10,3.215,
2007-01,3.143,
2007-04,3.229,
2007-07,3.243,
2007-10,3.095,
2008-01,3.112,
2008-04,3.188,
2008-07,3.208,
2008-10,3.552,
2009-01,3.587,
2009-04,3.634,
2009-07,3.703,
2009-10,3.659,
2010-01,3.613,
2010-04,2.219,
2010-07,2.282,
2010-10,2.322,
2011-01,2.279,
2011-04,2.272,
2011-07,2.294,
2011-10,2.308,
2012-01,2.271,
2012-04,2.262,
2012-07,2.384,
2012-10,2.332,
2013-01,2.354,
2013-04,2.406,
2013-07,2.474,
2013-10,2.462,
2014-01,2.457,
2014-04,2.281,
2014-07,2.282,
