"",BBK01.OEXI04V,BBK01.OEXI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:53,
2002-01,4.197,
2002-04,2.585,
2002-07,2.361,
2002-10,4.517,
2003-01,1.285,
2003-04,1.343,
2003-07,2.280,
2003-10,1.367,
2004-01,1.046,
2004-04,0.842,
2004-07,0.798,
2004-10,0.893,
2005-01,0.778,
2005-04,0.745,
2005-07,0.723,
2005-10,0.800,
2006-01,0.823,
2006-04,1.130,
2006-07,1.429,
2006-10,1.177,
2007-01,1.407,
2007-04,1.559,
2007-07,1.666,
2007-10,1.704,
2008-01,2.057,
2008-04,2.176,
2008-07,2.087,
2008-10,1.607,
2009-01,1.008,
2009-04,0.738,
2009-07,0.506,
2009-10,0.443,
2010-01,0.438,
2010-04,0.486,
2010-07,0.446,
2010-10,0.453,
2011-01,0.676,
2011-04,0.567,
2011-07,0.950,
2011-10,1.509,
2012-01,1.640,
2012-04,1.711,
2012-07,1.792,
2012-10,1.831,
2013-01,1.871,
2013-04,1.935,
2013-07,2.012,
2013-10,2.272,
2014-01,1.907,
2014-04,1.946,
2014-07,1.988,
