"",BBFB1.Q.N.DE.B2.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:40,
1991-01,2531.863,
1991-04,1664.252,
1991-07,2123.931,
1991-10,1636.438,
1992-01,1251.092,
1992-04,983.847,
1992-07,1296.781,
1992-10,570.712,
1993-01,564.966,
1993-04,286.438,
1993-07,159.154,
1993-10,357.583,
1994-01,-583.507,
1994-04,-1081.870,
1994-07,-566.493,
1994-10,433.567,
1995-01,-1538.690,
1995-04,-2113.828,
1995-07,-2110.046,
1995-10,-93.956,
1996-01,-1336.384,
1996-04,-2186.343,
1996-07,-4392.445,
1996-10,763.552,
1997-01,-2763.756,
1997-04,-3247.591,
1997-07,-2754.520,
1997-10,11.644,
1998-01,-3484.958,
1998-04,-4917.757,
1998-07,-4637.735,
1998-10,-2023.411,
1999-01,-4666.625,
1999-04,-5744.121,
1999-07,-5443.858,
1999-10,-3005.880,
2000-01,-3919.187,
2000-04,-5734.869,
2000-07,-7663.663,
2000-10,157.163,
2001-01,-3843.983,
2001-04,-4567.092,
2001-07,-4123.788,
2001-10,-1429.720,
2002-01,-6540.840,
2002-04,-8573.846,
2002-07,-7327.452,
2002-10,-4291.494,
2003-01,-5415.840,
2003-04,-8039.996,
2003-07,-5583.629,
2003-10,-1485.680,
2004-01,-4431.036,
2004-04,-5344.304,
2004-07,-2637.062,
2004-10,1356.433,
2005-01,-1908.455,
2005-04,-4158.580,
2005-07,-1405.386,
2005-10,2884.630,
2006-01,1734.055,
2006-04,-386.961,
2006-07,4219.755,
2006-10,10111.020,
2007-01,4334.509,
2007-04,-4493.972,
2007-07,3316.073,
2007-10,9466.469,
2008-01,5716.244,
2008-04,-6925.493,
2008-07,24.254,
2008-10,7275.811,
2009-01,7819.059,
2009-04,2271.802,
2009-07,10748.843,
2009-10,16350.090,
2010-01,6344.262,
2010-04,-702.553,
2010-07,5832.806,
2010-10,12751.326,
2011-01,9681.260,
2011-04,2987.426,
2011-07,12066.290,
2011-10,17740.523,
2012-01,10930.746,
2012-04,4970.089,
2012-07,11999.384,
2012-10,17317.370,
2013-01,10771.776,
2013-04,6647.667,
2013-07,9595.080,
2013-10,17549.439,
2014-01,9863.597,Provisional value
2014-04,3260.717,Provisional value
2014-07,10489.226,Provisional value
