"",BBK01.OELL04P,BBK01.OELL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:02,
2002-01,0.486,
2002-04,0.455,
2002-07,0.432,
2002-10,0.437,
2003-01,0.434,
2003-04,0.392,
2003-07,0.393,
2003-10,0.392,
2004-01,0.390,
2004-04,0.379,
2004-07,0.375,
2004-10,0.361,
2005-01,0.370,
2005-04,0.375,
2005-07,0.369,
2005-10,0.389,
2006-01,0.388,
2006-04,0.392,
2006-07,0.385,
2006-10,0.390,
2007-01,0.448,
2007-04,0.481,
2007-07,0.512,
2007-10,0.560,
2008-01,0.625,
2008-04,0.652,
2008-07,0.759,
2008-10,0.926,
2009-01,0.819,
2009-04,0.700,
2009-07,0.536,
2009-10,0.461,
2010-01,0.362,
2010-04,0.326,
2010-07,0.299,
2010-10,0.306,
2011-01,0.304,
2011-04,0.314,
2011-07,0.330,
2011-10,0.355,
2012-01,0.325,
2012-04,0.304,
2012-07,0.266,
2012-10,0.245,
2013-01,0.200,
2013-04,0.187,
2013-07,0.178,
2013-10,0.193,
2014-01,0.165,
2014-04,0.163,
2014-07,0.173,
