"",BBK01.OEXI03O,BBK01.OEXI03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:43,
2002-01,-23.571,
2002-04,-21.639,
2002-07,-21.200,
2002-10,-22.691,
2003-01,-19.107,
2003-04,-19.505,
2003-07,-18.883,
2003-10,-16.725,
2004-01,-16.398,
2004-04,-16.320,
2004-07,-15.449,
2004-10,-15.133,
2005-01,0.884,
2005-04,1.010,
2005-07,1.034,
2005-10,1.003,
2006-01,0.895,
2006-04,0.708,
2006-07,0.973,
2006-10,1.144,
2007-01,1.050,
2007-04,0.986,
2007-07,1.087,
2007-10,1.102,
2008-01,1.125,
2008-04,1.081,
2008-07,1.161,
2008-10,1.095,
2009-01,1.391,
2009-04,1.343,
2009-07,1.246,
2009-10,1.317,
2010-01,0.914,
2010-04,1.140,
2010-07,0.997,
2010-10,0.999,
2011-01,0.910,
2011-04,0.934,
2011-07,0.960,
2011-10,0.994,
2012-01,0.963,
2012-04,1.078,
2012-07,1.145,
2012-10,1.252,
2013-01,1.194,
2013-04,1.392,
2013-07,1.373,
2013-10,1.366,
2014-01,1.334,
2014-04,1.339,
2014-07,1.386,
