"",BBK01.OEAD19L,BBK01.OEAD19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:58,
2002-01,0.802,
2002-04,0.779,
2002-07,0.733,
2002-10,0.393,
2003-01,0.353,
2003-04,0.344,
2003-07,0.357,
2003-10,0.264,
2004-01,0.475,
2004-04,0.769,
2004-07,0.468,
2004-10,0.509,
2005-01,0.470,
2005-04,0.416,
2005-07,0.291,
2005-10,0.236,
2006-01,0.311,
2006-04,0.329,
2006-07,0.293,
2006-10,0.245,
2007-01,0.340,
2007-04,0.367,
2007-07,0.284,
2007-10,0.241,
2008-01,0.274,
2008-04,0.340,
2008-07,0.209,
2008-10,0.205,
2009-01,0.262,
2009-04,0.316,
2009-07,0.199,
2009-10,0.178,
2010-01,0.157,
2010-04,0.154,
2010-07,0.165,
2010-10,0.157,
2011-01,0.191,
2011-04,0.197,
2011-07,0.188,
2011-10,0.204,
2012-01,0.194,
2012-04,0.210,
2012-07,0.196,
2012-10,0.185,
2013-01,0.174,
2013-04,0.177,
2013-07,0.199,
2013-10,0.167,
2014-01,0.165,
2014-04,0.170,
2014-07,0.178,
