"",BBK01.OECI06G,BBK01.OECI06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:52,
2002-01,0.122,
2002-04,0.117,
2002-07,0.107,
2002-10,0.089,
2003-01,0.077,
2003-04,0.072,
2003-07,0.054,
2003-10,0.046,
2004-01,0.042,
2004-04,0.038,
2004-07,0.037,
2004-10,0.034,
2005-01,0.030,
2005-04,0.028,
2005-07,0.026,
2005-10,0.026,
2006-01,0.022,
2006-04,0.022,
2006-07,0.022,
2006-10,0.008,
2007-01,0.007,
2007-04,0.007,
2007-07,0.005,
2007-10,0.005,
2008-01,0.005,
2008-04,0.005,
2008-07,0.013,
2008-10,0.011,
2009-01,0.008,
2009-04,0.008,
2009-07,0.004,
2009-10,0.003,
2010-01,0.003,
2010-04,0.003,
2010-07,0.003,
2010-10,0.003,
2011-01,0.003,
2011-04,0.069,
2011-07,0.068,
2011-10,0.075,
2012-01,0.089,
2012-04,0.093,
2012-07,0.094,
2012-10,0.046,
2013-01,0.040,
2013-04,0.038,
2013-07,0.039,
2013-10,0.041,
2014-01,0.043,
2014-04,0.043,
2014-07,0.041,
