"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:28,
1991-01,53.829,
1991-04,33.738,
1991-07,39.920,
1991-10,50.081,
1992-01,16.955,
1992-04,167.284,
1992-07,24.312,
1992-10,13.375,
1993-01,26.587,
1993-04,50.474,
1993-07,-348.878,
1993-10,15.511,
1994-01,76.538,
1994-04,27.195,
1994-07,85.234,
1994-10,-109.094,
1995-01,64.913,
1995-04,82.173,
1995-07,82.157,
1995-10,28.217,
1996-01,190.542,
1996-04,33.021,
1996-07,58.397,
1996-10,-454.357,
1997-01,248.860,
1997-04,181.961,
1997-07,188.854,
1997-10,33.344,
1998-01,233.807,
1998-04,196.798,
1998-07,-119.548,
1998-10,-50.609,
1999-01,450.591,
1999-04,108.312,
1999-07,618.967,
1999-10,283.672,
2000-01,90.217,
2000-04,157.688,
2000-07,186.472,
2000-10,28.456,
2001-01,17.147,
2001-04,188.825,
2001-07,-158.028,
2001-10,187.727,
2002-01,56.198,
2002-04,-67.021,
2002-07,143.990,
2002-10,-393.554,
2003-01,55.113,
2003-04,598.940,
2003-07,-657.661,
2003-10,-2.516,
2004-01,133.730,
2004-04,486.000,
2004-07,5.283,
2004-10,-365.395,
2005-01,242.196,
2005-04,317.090,
2005-07,712.472,
2005-10,1550.212,
2006-01,414.466,
2006-04,206.533,
2006-07,79.270,
2006-10,218.233,
2007-01,446.132,
2007-04,282.824,
2007-07,630.439,
2007-10,-2238.901,
2008-01,359.725,
2008-04,198.133,
2008-07,145.725,
2008-10,307.465,
2009-01,562.464,
2009-04,-77.089,
2009-07,-294.408,
2009-10,-500.526,
2010-01,126.641,
2010-04,-109.077,
2010-07,-201.865,
2010-10,488.558,
2011-01,-373.358,
2011-04,-60.136,
2011-07,3.068,
2011-10,-178.337,
2012-01,192.632,
2012-04,97.855,
2012-07,-138.317,
2012-10,-386.441,
2013-01,362.871,
2013-04,43.821,
2013-07,391.337,
2013-10,1644.281,
2014-01,247.844,Provisional value
2014-04,403.813,Provisional value
2014-07,199.382,Provisional value
2014-10,-115.856,Provisional value
