"",BBK01.OEXL09J,BBK01.OEXL09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:40,
2002-01,0.137,
2002-04,0.129,
2002-07,0.131,
2002-10,0.124,
2003-01,0.109,
2003-04,0.098,
2003-07,0.089,
2003-10,0.084,
2004-01,0.077,
2004-04,0.070,
2004-07,0.066,
2004-10,0.064,
2005-01,0.065,
2005-04,0.062,
2005-07,0.054,
2005-10,0.054,
2006-01,0.054,
2006-04,0.059,
2006-07,0.062,
2006-10,0.070,
2007-01,0.097,
2007-04,0.111,
2007-07,0.125,
2007-10,0.145,
2008-01,0.158,
2008-04,0.165,
2008-07,0.168,
2008-10,0.234,
2009-01,0.254,
2009-04,0.256,
2009-07,0.279,
2009-10,0.243,
2010-01,0.206,
2010-04,0.212,
2010-07,0.206,
2010-10,0.243,
2011-01,0.286,
2011-04,0.289,
2011-07,0.292,
2011-10,0.279,
2012-01,0.235,
2012-04,0.230,
2012-07,0.196,
2012-10,0.161,
2013-01,0.126,
2013-04,0.106,
2013-07,0.098,
2013-10,0.091,
2014-01,0.087,
2014-04,0.082,
2014-07,0.100,
