"",BBK01.OEAA20O,BBK01.OEAA20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:32,
2002-01,0.152,
2002-04,0.142,
2002-07,0.131,
2002-10,0.131,
2003-01,0.120,
2003-04,0.120,
2003-07,0.107,
2003-10,0.100,
2004-01,0.096,
2004-04,0.088,
2004-07,0.070,
2004-10,0.069,
2005-01,0.068,
2005-04,0.061,
2005-07,0.068,
2005-10,0.072,
2006-01,0.061,
2006-04,0.055,
2006-07,0.055,
2006-10,0.059,
2007-01,0.050,
2007-04,0.050,
2007-07,0.044,
2007-10,0.054,
2008-01,0.035,
2008-04,0.028,
2008-07,0.028,
2008-10,0.036,
2009-01,0.022,
2009-04,0.017,
2009-07,0.016,
2009-10,0.023,
2010-01,0.020,
2010-04,0.020,
2010-07,0.016,
2010-10,0.018,
2011-01,0.017,
2011-04,0.014,
2011-07,0.014,
2011-10,0.013,
2012-01,0.013,
2012-04,0.018,
2012-07,0.009,
2012-10,0.012,
2013-01,0.011,
2013-04,0.015,
2013-07,0.017,
2013-10,0.013,
2014-01,0.008,
2014-04,0.008,
2014-07,0.010,
