"",BBK01.OEBB15G,BBK01.OEBB15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:37,
2002-01,1.294,
2002-04,2.448,
2002-07,2.463,
2002-10,2.515,
2003-01,2.480,
2003-04,2.384,
2003-07,2.513,
2003-10,2.840,
2004-01,2.945,
2004-04,2.971,
2004-07,2.930,
2004-10,3.315,
2005-01,2.978,
2005-04,2.977,
2005-07,2.487,
2005-10,2.527,
2006-01,2.527,
2006-04,2.546,
2006-07,2.520,
2006-10,1.945,
2007-01,1.999,
2007-04,2.054,
2007-07,2.131,
2007-10,2.222,
2008-01,2.268,
2008-04,2.301,
2008-07,2.343,
2008-10,2.432,
2009-01,2.476,
2009-04,2.417,
2009-07,2.389,
2009-10,2.400,
2010-01,2.364,
2010-04,2.422,
2010-07,2.475,
2010-10,2.483,
2011-01,2.469,
2011-04,2.506,
2011-07,2.587,
2011-10,2.662,
2012-01,2.632,
2012-04,2.687,
2012-07,2.669,
2012-10,2.698,
2013-01,2.643,
2013-04,2.677,
2013-07,2.639,
2013-10,2.668,
2014-01,2.652,
2014-04,2.638,
2014-07,2.629,
