"",BBK01.OEAH37N,BBK01.OEAH37N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:25,
2002-01,0.099,
2002-04,0.105,
2002-07,0.100,
2002-10,0.113,
2003-01,0.110,
2003-04,0.109,
2003-07,0.098,
2003-10,0.111,
2004-01,0.123,
2004-04,0.126,
2004-07,0.134,
2004-10,0.095,
2005-01,0.081,
2005-04,0.078,
2005-07,0.088,
2005-10,0.102,
2006-01,0.106,
2006-04,0.141,
2006-07,0.153,
2006-10,0.169,
2007-01,0.234,
2007-04,0.248,
2007-07,0.250,
2007-10,0.313,
2008-01,0.277,
2008-04,0.278,
2008-07,0.274,
2008-10,0.287,
2009-01,0.285,
2009-04,0.272,
2009-07,0.260,
2009-10,0.247,
2010-01,0.225,
2010-04,0.219,
2010-07,0.218,
2010-10,0.187,
2011-01,0.213,
2011-04,0.228,
2011-07,0.260,
2011-10,0.297,
2012-01,0.312,
2012-04,0.295,
2012-07,0.268,
2012-10,0.274,
2013-01,0.249,
2013-04,0.237,
2013-07,0.240,
2013-10,0.227,
2014-01,0.229,
2014-04,0.250,
2014-07,0.250,
