"",BBDE1.M.DE.Y.AEA1.N2C290000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.N2C290000.F.C.I10.A_FLAGS
"","Orders received / At constant prices / Germany / 29 Manufacture of motor vehicles, trailers and semi-trailers / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:00,
1991-01,63.4,
1991-02,56.3,
1991-03,60.2,
1991-04,56.1,
1991-05,56.4,
1991-06,57.9,
1991-07,53.2,
1991-08,64.0,
1991-09,58.9,
1991-10,57.1,
1991-11,60.2,
1991-12,59.1,
1992-01,58.1,
1992-02,62.3,
1992-03,57.8,
1992-04,52.2,
1992-05,51.8,
1992-06,50.4,
1992-07,51.3,
1992-08,49.7,
1992-09,51.1,
1992-10,47.7,
1992-11,46.1,
1992-12,51.6,
1993-01,48.8,
1993-02,43.0,
1993-03,42.4,
1993-04,43.1,
1993-05,45.2,
1993-06,44.2,
1993-07,45.7,
1993-08,44.8,
1993-09,48.5,
1993-10,47.8,
1993-11,47.3,
1993-12,49.0,
1994-01,47.2,
1994-02,50.4,
1994-03,55.3,
1994-04,52.3,
1994-05,50.0,
1994-06,53.7,
1994-07,52.3,
1994-08,52.4,
1994-09,51.8,
1994-10,53.1,
1994-11,55.0,
1994-12,54.8,
1995-01,52.4,
1995-02,53.4,
1995-03,52.3,
1995-04,52.1,
1995-05,53.8,
1995-06,51.0,
1995-07,51.3,
1995-08,50.2,
1995-09,51.2,
1995-10,51.5,
1995-11,52.2,
1995-12,55.4,
1996-01,53.8,
1996-02,51.5,
1996-03,55.5,
1996-04,56.5,
1996-05,56.5,
1996-06,56.9,
1996-07,55.2,
1996-08,59.4,
1996-09,55.9,
1996-10,60.1,
1996-11,57.4,
1996-12,57.2,
1997-01,59.8,
1997-02,57.9,
1997-03,62.7,
1997-04,62.0,
1997-05,62.7,
1997-06,62.0,
1997-07,60.6,
1997-08,60.9,
1997-09,60.9,
1997-10,61.5,
1997-11,61.5,
1997-12,63.1,
1998-01,64.2,
1998-02,64.4,
1998-03,66.3,
1998-04,68.7,
1998-05,65.7,
1998-06,65.7,
1998-07,68.8,
1998-08,66.5,
1998-09,68.6,
1998-10,69.2,
1998-11,69.1,
1998-12,71.7,
1999-01,69.1,
