"",BBK01.OEBL05I,BBK01.OEBL05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:27,
2002-01,0.326,
2002-04,0.226,
2002-07,0.229,
2002-10,0.234,
2003-01,0.231,
2003-04,0.224,
2003-07,0.214,
2003-10,0.211,
2004-01,0.206,
2004-04,0.210,
2004-07,0.211,
2004-10,0.198,
2005-01,0.409,
2005-04,0.401,
2005-07,0.397,
2005-10,0.392,
2006-01,0.381,
2006-04,0.373,
2006-07,0.371,
2006-10,0.384,
2007-01,0.364,
2007-04,0.361,
2007-07,0.356,
2007-10,0.356,
2008-01,0.362,
2008-04,0.350,
2008-07,0.337,
2008-10,0.381,
2009-01,0.382,
2009-04,0.401,
2009-07,0.424,
2009-10,0.484,
2010-01,0.528,
2010-04,0.536,
2010-07,0.567,
2010-10,0.617,
2011-01,1.105,
2011-04,1.408,
2011-07,1.524,
2011-10,2.075,
2012-01,2.623,
2012-04,2.713,
2012-07,2.722,
2012-10,2.742,
2013-01,2.733,
2013-04,2.749,
2013-07,2.753,
2013-10,2.722,
2014-01,2.725,
2014-04,2.693,
2014-07,2.677,
