"",BBK01.OECO02L,BBK01.OECO02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:49,
2002-01,-2.978,
2002-04,-2.341,
2002-07,-1.434,
2002-10,-2.411,
2003-01,-2.052,
2003-04,-1.206,
2003-07,-3.250,
2003-10,-1.864,
2004-01,-2.149,
2004-04,-1.608,
2004-07,-4.249,
2004-10,-2.062,
2005-01,0.733,
2005-04,0.659,
2005-07,-1.633,
2005-10,-1.636,
2006-01,-2.334,
2006-04,-2.112,
2006-07,-1.878,
2006-10,-2.346,
2007-01,-2.577,
2007-04,-2.342,
2007-07,-2.375,
2007-10,-2.353,
2008-01,-2.295,
2008-04,-1.910,
2008-07,-1.880,
2008-10,-4.302,
2009-01,-1.824,
2009-04,-0.848,
2009-07,-0.559,
2009-10,-0.379,
2010-01,4.884,
2010-04,2.472,
2010-07,1.855,
2010-10,2.077,
2011-01,1.950,
2011-04,0.870,
2011-07,0.606,
2011-10,0.508,
2012-01,1.277,
2012-04,0.437,
2012-07,0.494,
2012-10,0.483,
2013-01,0.717,
2013-04,0.436,
2013-07,0.351,
2013-10,0.358,
2014-01,0.301,
2014-04,0.233,
2014-07,0.539,
