"",BBK01.OELJ02T,BBK01.OELJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:26,
2002-01,0.237,
2002-04,0.253,
2002-07,0.289,
2002-10,0.295,
2003-01,0.251,
2003-04,0.269,
2003-07,0.277,
2003-10,0.315,
2004-01,0.274,
2004-04,0.232,
2004-07,0.310,
2004-10,0.359,
2005-01,0.311,
2005-04,0.314,
2005-07,0.314,
2005-10,0.387,
2006-01,0.312,
2006-04,0.303,
2006-07,0.343,
2006-10,0.405,
2007-01,0.332,
2007-04,0.321,
2007-07,0.345,
2007-10,0.440,
2008-01,0.338,
2008-04,0.335,
2008-07,0.407,
2008-10,0.485,
2009-01,0.499,
2009-04,0.495,
2009-07,0.539,
2009-10,0.650,
2010-01,0.579,
2010-04,0.550,
2010-07,0.624,
2010-10,0.697,
2011-01,0.609,
2011-04,0.587,
2011-07,0.604,
2011-10,0.682,
2012-01,0.614,
2012-04,0.642,
2012-07,0.686,
2012-10,0.836,
2013-01,0.854,
2013-04,0.848,
2013-07,0.964,
2013-10,1.070,
2014-01,0.921,
2014-04,0.848,
2014-07,0.952,
