"",BBFN1.M.DE.N.1.L.G9.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:24,
1995-01,6.450,
1995-02,6.916,
1995-03,6.556,
1995-04,6.714,
1995-05,6.849,
1995-06,7.216,
1995-07,7.412,
1995-08,7.262,
1995-09,7.726,
1995-10,7.288,
1995-11,7.257,
1995-12,7.036,
1996-01,7.163,
1996-02,7.227,
1996-03,7.572,
1996-04,7.563,
1996-05,7.656,
1996-06,7.927,
1996-07,7.956,
1996-08,7.797,
1996-09,8.293,
1996-10,7.886,
1996-11,7.663,
1996-12,8.018,
1997-01,7.704,
1997-02,7.963,
1997-03,7.869,
1997-04,8.216,
1997-05,7.839,
1997-06,7.957,
1997-07,7.844,
1997-08,7.838,
1997-09,7.713,
1997-10,7.092,
1997-11,7.256,
1997-12,7.782,
1998-01,7.575,
1998-02,7.588,
1998-03,7.614,
1998-04,7.589,
1998-05,7.870,
1998-06,7.956,
1998-07,7.338,
1998-08,7.498,
1998-09,7.590,
1998-10,6.393,
1998-11,6.221,
1998-12,6.263,
1999-01,6.313,
1999-02,6.752,
1999-03,6.466,
1999-04,7.464,
1999-05,7.483,
1999-06,7.712,
1999-07,6.946,
1999-08,7.445,
1999-09,7.562,
1999-10,7.847,
1999-11,7.963,
1999-12,8.328,
2000-01,8.478,
2000-02,8.485,
2000-03,10.293,
2000-04,10.589,
2000-05,10.141,
2000-06,10.482,
2000-07,10.570,
2000-08,10.456,
2000-09,11.743,
2000-10,12.369,
2000-11,12.458,
2000-12,12.692,
2001-01,15.735,
2001-02,15.067,
2001-03,13.778,
2001-04,12.085,
2001-05,12.103,
2001-06,12.924,
2001-07,12.822,
2001-08,12.855,
2001-09,13.286,
2001-10,12.730,
2001-11,12.004,
2001-12,11.487,
2002-01,10.330,
2002-02,10.065,
2002-03,10.136,
2002-04,12.123,
2002-05,11.394,
2002-06,10.764,
2002-07,10.210,
2002-08,10.141,
2002-09,10.768,
2002-10,11.133,
2002-11,10.745,
2002-12,11.641,
2003-01,12.287,
2003-02,12.595,
2003-03,13.242,
2003-04,13.346,
2003-05,13.643,
2003-06,13.862,
2003-07,13.430,
2003-08,13.524,
2003-09,13.934,
2003-10,14.167,
2003-11,15.026,
2003-12,13.314,
2004-01,12.911,
2004-02,12.502,
2004-03,12.690,
2004-04,11.950,
2004-05,8.791,
2004-06,8.800,
2004-07,8.355,
2004-08,8.424,
2004-09,8.606,
2004-10,8.854,
2004-11,8.762,
2004-12,9.220,
2005-01,9.695,
2005-02,10.022,
2005-03,9.582,
2005-04,9.536,
2005-05,9.904,
2005-06,12.229,
2005-07,12.651,
2005-08,13.063,
2005-09,13.413,
2005-10,13.315,
2005-11,14.409,
2005-12,15.388,
2006-01,14.371,
2006-02,13.716,
2006-03,14.245,
2006-04,13.949,
2006-05,14.190,
2006-06,13.297,
2006-07,12.948,
2006-08,11.969,
2006-09,12.166,
2006-10,12.194,
2006-11,11.710,
2006-12,15.945,
2007-01,17.547,
2007-02,20.010,
2007-03,16.422,
2007-04,15.716,
2007-05,20.180,
2007-06,28.508,
2007-07,22.692,
2007-08,24.761,
2007-09,22.345,
2007-10,25.140,
2007-11,24.933,
2007-12,18.313,
2008-01,15.860,
2008-02,19.938,
2008-03,20.096,
2008-04,22.941,
2008-05,17.545,
2008-06,28.109,
2008-07,22.680,
2008-08,22.885,
2008-09,19.514,
2008-10,25.872,
2008-11,24.537,
2008-12,24.444,
2009-01,13.606,
2009-02,14.461,
2009-03,15.215,
2009-04,16.160,
2009-05,13.493,
2009-06,13.795,
2009-07,14.903,
2009-08,15.629,
2009-09,16.491,
2009-10,16.212,
2009-11,16.843,
2009-12,25.671,
2010-01,16.752,
2010-02,16.945,
2010-03,20.854,
2010-04,17.837,
2010-05,17.759,
2010-06,18.282,
2010-07,18.509,
2010-08,17.850,
2010-09,18.021,
2010-10,17.891,
2010-11,17.707,
2010-12,20.087,
2011-01,19.591,
2011-02,18.563,
2011-03,20.221,
2011-04,18.999,
2011-05,19.242,
2011-06,19.441,
2011-07,19.463,
2011-08,21.836,
2011-09,24.499,
2011-10,24.946,
2011-11,26.600,
2011-12,27.844,
2012-01,23.734,
2012-02,23.656,
2012-03,24.219,
2012-04,26.261,
2012-05,26.213,
2012-06,27.057,
2012-07,26.840,
2012-08,24.590,
2012-09,25.541,
2012-10,25.886,
2012-11,24.632,
2012-12,2.228,
2013-01,1.894,
2013-02,1.925,
2013-03,1.973,
2013-04,1.851,
2013-05,1.765,
2013-06,1.913,
2013-07,2.161,
2013-08,1.957,
2013-09,1.974,
2013-10,1.993,
2013-11,1.980,
2013-12,1.941,
2014-01,1.865,
2014-02,1.893,
2014-03,1.735,
2014-04,1.667,
2014-05,1.616,
2014-06,1.659,
2014-07,1.752,
2014-08,1.752,
2014-09,1.832,
2014-10,1.747,
2014-11,1.506,
2014-12,1.800,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
