"",BBK01.OEAH34K,BBK01.OEAH34K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:41,
2002-01,0.048,
2002-04,0.041,
2002-07,0.049,
2002-10,0.033,
2003-01,0.027,
2003-04,0.024,
2003-07,0.027,
2003-10,0.019,
2004-01,0.039,
2004-04,0.039,
2004-07,0.044,
2004-10,0.063,
2005-01,0.083,
2005-04,0.106,
2005-07,0.151,
2005-10,0.153,
2006-01,0.130,
2006-04,0.111,
2006-07,0.068,
2006-10,0.045,
2007-01,0.054,
2007-04,0.053,
2007-07,0.100,
2007-10,0.127,
2008-01,0.147,
2008-04,0.227,
2008-07,0.229,
2008-10,0.253,
2009-01,0.428,
2009-04,0.465,
2009-07,0.461,
2009-10,0.451,
2010-01,0.268,
2010-04,0.168,
2010-07,0.137,
2010-10,0.141,
2011-01,0.139,
2011-04,0.169,
2011-07,0.197,
2011-10,0.323,
2012-01,0.347,
2012-04,0.380,
2012-07,0.455,
2012-10,0.474,
2013-01,0.446,
2013-04,0.624,
2013-07,0.840,
2013-10,0.805,
2014-01,0.900,
2014-04,0.975,
2014-07,0.913,
