"",BBK01.OEYI08M,BBK01.OEYI08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:22,
2002-01,1.961,
2002-04,1.888,
2002-07,1.842,
2002-10,1.874,
2003-01,1.862,
2003-04,1.840,
2003-07,1.838,
2003-10,1.837,
2004-01,1.822,
2004-04,1.769,
2004-07,1.731,
2004-10,1.710,
2005-01,1.682,
2005-04,1.651,
2005-07,1.623,
2005-10,1.625,
2006-01,1.586,
2006-04,1.539,
2006-07,1.467,
2006-10,1.440,
2007-01,1.424,
2007-04,1.417,
2007-07,1.365,
2007-10,1.352,
2008-01,1.310,
2008-04,1.296,
2008-07,1.250,
2008-10,1.531,
2009-01,1.506,
2009-04,0.773,
2009-07,0.801,
2009-10,0.884,
2010-01,0.867,
2010-04,0.825,
2010-07,0.824,
2010-10,0.834,
2011-01,0.802,
2011-04,0.782,
2011-07,0.766,
2011-10,0.739,
2012-01,0.732,
2012-04,0.714,
2012-07,0.705,
2012-10,0.745,
2013-01,1.313,
2013-04,1.348,
2013-07,1.353,
2013-10,1.370,
2014-01,1.335,
2014-04,1.487,
2014-07,1.468,
