"",BBNZ1.Q.DE.S.G.0106.A,BBNZ1.Q.DE.S.G.0106.A_FLAGS
"",Germany / National accounts / Use of GDP / Government consumption / At current prices / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:01,
1991-01,68.705,
1991-04,73.912,
1991-07,73.893,
1991-10,77.055,
1992-01,77.281,
1992-04,79.933,
1992-07,82.162,
1992-10,83.904,
1993-01,82.081,
1993-04,84.183,
1993-07,84.178,
1993-10,84.465,
1994-01,86.272,
1994-04,86.798,
1994-07,87.399,
1994-10,89.249,
1995-01,88.377,
1995-04,90.469,
1995-07,92.298,
1995-10,93.211,
1996-01,92.525,
1996-04,93.481,
1996-07,94.221,
1996-10,94.466,
1997-01,94.301,
1997-04,94.528,
1997-07,93.347,
1997-10,93.086,
1998-01,94.467,
1998-04,95.280,
1998-07,94.993,
1998-10,95.301,
1999-01,97.228,
1999-04,97.610,
1999-07,98.645,
1999-10,97.871,
2000-01,99.309,
2000-04,98.433,
2000-07,98.478,
2000-10,99.444,
2001-01,100.685,
2001-04,100.328,
2001-07,100.800,
2001-10,103.604,
2002-01,103.049,
2002-04,103.416,
2002-07,104.173,
2002-10,106.098,
2003-01,104.254,
2003-04,104.421,
2003-07,106.675,
2003-10,105.861,
2004-01,104.527,
2004-04,104.784,
2004-07,105.485,
2004-10,104.404,
2005-01,104.515,
2005-04,106.313,
2005-07,106.226,
2005-10,106.102,
2006-01,107.292,
2006-04,107.319,
2006-07,107.569,
2006-10,108.394,
2007-01,109.109,
2007-04,109.745,
2007-07,109.831,
2007-10,111.612,
2008-01,112.595,
2008-04,115.111,
2008-07,114.240,
2008-10,116.082,
2009-01,118.835,
2009-04,120.058,
2009-07,121.527,
2009-10,121.018,
2010-01,123.337,
2010-04,122.611,
2010-07,123.763,
2010-10,124.189,
2011-01,125.540,
2011-04,126.172,
2011-07,126.228,
2011-10,127.781,
2012-01,128.507,
2012-04,130.238,
2012-07,130.378,
2012-10,132.167,
2013-01,133.667,
2013-04,134.518,
2013-07,136.278,
2013-10,136.745,
2014-01,138.268,
2014-04,139.875,
2014-07,141.363,
2014-10,141.955,
