"",BBK01.OEBB15H,BBK01.OEBB15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:46,
2002-01,1.832,
2002-04,1.814,
2002-07,1.782,
2002-10,1.680,
2003-01,1.742,
2003-04,1.690,
2003-07,1.657,
2003-10,1.651,
2004-01,1.643,
2004-04,2.118,
2004-07,2.596,
2004-10,2.674,
2005-01,2.710,
2005-04,2.782,
2005-07,2.766,
2005-10,2.760,
2006-01,2.753,
2006-04,2.201,
2006-07,2.157,
2006-10,2.201,
2007-01,2.199,
2007-04,2.265,
2007-07,2.277,
2007-10,2.281,
2008-01,2.255,
2008-04,2.210,
2008-07,2.186,
2008-10,2.191,
2009-01,2.124,
2009-04,1.981,
2009-07,2.000,
2009-10,1.941,
2010-01,2.065,
2010-04,2.081,
2010-07,2.015,
2010-10,2.054,
2011-01,2.011,
2011-04,2.055,
2011-07,4.432,
2011-10,4.525,
2012-01,4.528,
2012-04,4.530,
2012-07,4.499,
2012-10,4.579,
2013-01,4.607,
2013-04,4.541,
2013-07,4.550,
2013-10,4.524,
2014-01,4.474,
2014-04,4.518,
2014-07,4.500,
