"",BBK01.CEFQ0J,BBK01.CEFQ0J_FLAGS
"",short-term time deposits  debtor: Total          creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:04,
1999-01,120.1,
1999-04,113.2,
1999-07,109.2,
1999-10,112.5,
2000-01,108.6,
2000-04,108.9,
2000-07,113.7,
2000-10,119.7,
2001-01,127.8,
2001-04,131.9,
2001-07,135.2,
2001-10,133.9,
2002-01,130.5,
2002-04,126.2,
2002-07,125.1,
2002-10,124.3,
2003-01,118.3,
2003-04,112.6,
2003-07,108.3,
2003-10,103.3,
2004-01,99.5,
2004-04,94.3,
2004-07,91.3,
2004-10,91.2,
2005-01,86.5,
2005-04,85.8,
2005-07,84.3,
2005-10,87.7,
2006-01,91.4,
2006-04,93.9,
2006-07,104.4,
2006-10,114.8,
2007-01,122.5,
2007-04,129.3,
2007-07,146.0,
2007-10,167.2,
2008-01,182.4,
2008-04,198.0,
2008-07,218.6,
2008-10,243.9,
2009-01,197.0,
2009-04,172.9,
2009-07,142.8,
2009-10,118.4,
2010-01,102.8,
2010-04,96.7,
2010-07,90.7,
2010-10,92.5,
2011-01,89.5,
2011-04,93.3,
2011-07,96.4,
2011-10,101.3,
2012-01,102.8,
2012-04,101.8,
2012-07,97.1,
2012-10,89.5,
2013-01,83.5,
2013-04,80.1,
2013-07,74.7,
2013-10,72.3,
2014-01,72.0,
2014-04,71.7,
2014-07,71.4,
