"",BBK01.OECL09I,BBK01.OECL09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:13,
2002-01,0.138,
2002-04,0.134,
2002-07,0.132,
2002-10,0.133,
2003-01,0.122,
2003-04,0.121,
2003-07,0.118,
2003-10,0.117,
2004-01,0.116,
2004-04,0.115,
2004-07,0.106,
2004-10,0.107,
2005-01,0.134,
2005-04,0.131,
2005-07,0.125,
2005-10,0.123,
2006-01,0.116,
2006-04,0.124,
2006-07,0.138,
2006-10,0.160,
2007-01,0.180,
2007-04,0.196,
2007-07,0.213,
2007-10,0.230,
2008-01,0.248,
2008-04,0.264,
2008-07,0.272,
2008-10,0.343,
2009-01,0.335,
2009-04,0.338,
2009-07,0.341,
2009-10,0.286,
2010-01,0.259,
2010-04,0.253,
2010-07,0.233,
2010-10,0.240,
2011-01,0.249,
2011-04,0.250,
2011-07,0.255,
2011-10,0.253,
2012-01,0.252,
2012-04,0.244,
2012-07,0.219,
2012-10,0.191,
2013-01,0.167,
2013-04,0.150,
2013-07,0.138,
2013-10,0.135,
2014-01,0.132,
2014-04,0.127,
2014-07,0.135,
