"",BBK01.OEHI05K,BBK01.OEHI05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:51,
2002-01,2.425,
2002-04,2.545,
2002-07,2.612,
2002-10,2.757,
2003-01,3.058,
2003-04,3.490,
2003-07,3.413,
2003-10,3.548,
2004-01,3.739,
2004-04,3.916,
2004-07,4.054,
2004-10,4.342,
2005-01,4.794,
2005-04,4.926,
2005-07,5.211,
2005-10,5.575,
2006-01,5.708,
2006-04,5.820,
2006-07,5.811,
2006-10,5.835,
2007-01,5.864,
2007-04,5.754,
2007-07,5.745,
2007-10,5.746,
2008-01,5.717,
2008-04,5.774,
2008-07,5.862,
2008-10,5.830,
2009-01,5.782,
2009-04,5.841,
2009-07,6.082,
2009-10,6.115,
2010-01,6.269,
2010-04,6.334,
2010-07,6.136,
2010-10,6.118,
2011-01,6.060,
2011-04,6.058,
2011-07,6.013,
2011-10,6.093,
2012-01,5.666,
2012-04,5.639,
2012-07,5.627,
2012-10,5.585,
2013-01,5.720,
2013-04,5.660,
2013-07,5.663,
2013-10,5.667,
2014-01,5.562,
2014-04,5.433,
2014-07,4.008,
