"",BBFB1.M.N.DE.W1.S1.S1.T.B.SC2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SC2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Air transport / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:26,
1991-01,-99.046,
1991-02,35.471,
1991-03,-100.101,
1991-04,52.977,
1991-05,11.063,
1991-06,7.241,
1991-07,-53.049,
1991-08,50.491,
1991-09,82.806,
1991-10,3.350,
1991-11,-45.760,
1991-12,-36.957,
1992-01,-117.117,
1992-02,0.157,
1992-03,17.109,
1992-04,22.542,
1992-05,43.975,
1992-06,40.506,
1992-07,9.070,
1992-08,-115.599,
1992-09,-76.383,
1992-10,13.526,
1992-11,18.652,
1992-12,-150.489,
1993-01,-88.517,
1993-02,37.804,
1993-03,-37.640,
1993-04,-57.872,
1993-05,-34.785,
1993-06,-17.125,
1993-07,18.378,
1993-08,17.084,
1993-09,-107.344,
1993-10,48.730,
1993-11,-44.639,
1993-12,65.797,
1994-01,-62.598,
1994-02,34.748,
1994-03,25.530,
1994-04,40.614,
1994-05,-26.200,
1994-06,54.846,
1994-07,-36.563,
1994-08,-66.740,
1994-09,41.742,
1994-10,0.238,
1994-11,3.017,
1994-12,29.616,
1995-01,-44.168,
1995-02,73.530,
1995-03,56.932,
1995-04,-7.519,
1995-05,-18.759,
1995-06,-40.784,
1995-07,-54.152,
1995-08,-74.439,
1995-09,-29.013,
1995-10,-50.410,
1995-11,-10.237,
1995-12,36.067,
1996-01,-50.995,
1996-02,84.476,
1996-03,6.762,
1996-04,12.865,
1996-05,-14.243,
1996-06,59.367,
1996-07,-53.867,
1996-08,5.960,
1996-09,-12.521,
1996-10,37.508,
1996-11,51.398,
1996-12,-0.752,
1997-01,-22.977,
1997-02,28.817,
1997-03,83.494,
1997-04,67.566,
1997-05,88.841,
1997-06,105.639,
1997-07,2.920,
1997-08,67.731,
1997-09,62.176,
1997-10,93.433,
