"",BBK01.OEAD18L,BBK01.OEAD18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:57,
2002-01,0.860,
2002-04,0.881,
2002-07,0.865,
2002-10,0.842,
2003-01,0.928,
2003-04,0.750,
2003-07,0.634,
2003-10,0.578,
2004-01,0.635,
2004-04,0.551,
2004-07,0.600,
2004-10,0.542,
2005-01,0.599,
2005-04,0.601,
2005-07,0.546,
2005-10,0.497,
2006-01,0.559,
2006-04,0.641,
2006-07,0.610,
2006-10,0.630,
2007-01,0.617,
2007-04,0.666,
2007-07,0.757,
2007-10,0.761,
2008-01,0.575,
2008-04,0.597,
2008-07,0.630,
2008-10,0.478,
2009-01,0.495,
2009-04,0.491,
2009-07,0.505,
2009-10,0.443,
2010-01,0.433,
2010-04,0.441,
2010-07,0.461,
2010-10,0.362,
2011-01,0.421,
2011-04,0.442,
2011-07,0.441,
2011-10,0.421,
2012-01,0.543,
2012-04,0.463,
2012-07,0.537,
2012-10,0.489,
2013-01,0.540,
2013-04,0.531,
2013-07,0.544,
2013-10,0.308,
2014-01,0.400,
2014-04,0.399,
2014-07,0.344,
