"",BBEX3.M.XCD.EUR.CA.AB.A01,BBEX3.M.XCD.EUR.CA.AB.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in the Eastern Caribbean Currency Union * / EUR 1 = XCD ... (selling),
unit,XCD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:17,
1999-01,3.0929,
1999-02,2.9935,
1999-03,2.9185,
1999-04,2.8791,
1999-05,2.8408,
1999-06,2.8060,
1999-07,2.9055,
1999-08,2.8726,
1999-09,2.8976,
1999-10,2.8400,
1999-11,2.7433,
1999-12,2.7294,
2000-01,2.6601,
2000-02,2.6392,
2000-03,2.5955,
2000-04,2.4683,
2000-05,2.5275,
2000-06,2.5963,
2000-07,2.5112,
2000-08,2.4197,
2000-09,2.3814,
2000-10,2.2868,
2000-11,2.3594,
2000-12,2.5281,
2001-01,2.5248,
2001-02,2.5126,
2001-03,2.3996,
2001-04,2.4115,
2001-05,2.3039,
2001-06,2.3039,
2001-07,2.3786,
2001-08,2.4881,
2001-09,2.4808,
2001-10,2.4566,
2001-11,2.4175,
2001-12,2.3944,
2002-01,2.3466,
2002-02,2.3504,
2002-03,2.3702,
2002-04,2.4474,
2002-05,2.5504,
2002-06,2.7101,
2002-07,2.6579,
2002-08,2.6715,
2002-09,2.6789,
2002-10,2.6800,
2002-11,2.6971,
2002-12,2.8492,
2003-01,2.9386,
2003-02,2.9294,
2003-03,2.9601,
2003-04,3.0242,
2003-05,3.2119,
2003-06,3.1046,
2003-07,3.0750,
2003-08,2.9688,
2003-09,3.1657,
2003-10,3.1576,
2003-11,3.2586,
2003-12,3.4314,
2004-01,3.3646,
2004-02,3.3738,
2004-03,3.3211,
2004-04,3.2459,
2004-05,3.3141,
2004-06,3.3024,
2004-07,3.2709,
2004-08,3.2904,
2004-09,3.3714,
2004-10,3.4605,
2004-11,3.6121,
2004-12,3.7007,
2005-01,3.5415,
2005-02,3.6018,
2005-03,3.5222,
2005-04,3.5203,
2005-05,3.3502,
2005-06,3.2853,
2005-07,3.2855,
2005-08,3.3141,
2005-09,3.2717,
2005-10,3.2665,
2005-11,3.1975,
2005-12,3.2051,
2006-01,3.2923,
2006-02,3.2263,
2006-03,3.2885,
2006-04,3.4062,
2006-05,3.4961,
2006-06,3.4540,
2006-07,3.4687,
2006-08,3.4915,
2006-09,3.4396,
2006-10,3.4494,
2006-11,3.5863,
2006-12,3.5782,
2007-01,3.5195,
2007-02,3.5893,
2007-03,3.6184,
2007-04,3.6963,
2007-05,3.6550,
2007-06,3.6692,
2007-07,3.7241,
2007-08,3.7235,
2007-09,3.8523,
2007-10,3.9251,
2007-11,4.0104,
2007-12,3.9995,
2008-01,4.0400,
2008-02,4.1207,
2008-03,4.2960,
2008-04,4.2221,
2008-05,4.2134,
2008-06,4.2829,
2008-07,4.2414,
2008-08,4.0034,
2008-09,3.8860,
2008-10,3.4659,
2008-11,3.4578,
2008-12,3.7811,
2009-01,3.4820,
2009-02,3.4352,
2009-03,3.6157,
2009-04,3.6067,
2009-05,3.8303,
2009-06,3.8401,
2009-07,3.8412,
2009-08,3.8776,
2009-09,3.9784,
2009-10,4.0210,
2009-11,4.0816,
2009-12,3.9140,
2010-01,3.7944,
2010-02,3.6868,
2010-03,3.6621,
2010-04,3.6176,
2010-05,3.3437,
2010-06,3.3339,
2010-07,3.5396,
2010-08,3.4450,
2010-09,3.7080,
2010-10,3.7648,
2010-11,3.5314,
2010-12,3.6303,
2011-01,3.7200,
2011-02,3.7586,
2011-03,3.8599,
2011-04,4.0373,
2011-05,3.9083,
2011-06,3.9267,
2011-07,3.8743,
2011-08,3.9259,
2011-09,3.6686,
2011-10,3.8039,
2011-11,3.6455,
2011-12,3.5154,
2012-01,3.5798,
2012-02,3.6523,
2012-03,3.6287,
2012-04,3.5901,
2012-05,3.3698,
2012-06,3.4206,
2012-07,3.3374,
2012-08,3.4263,
2012-09,3.5130,
2012-10,3.5301,
2012-11,3.5282,
2012-12,3.5847,
2013-01,3.6814,
2013-02,3.5670,
2013-03,3.4790,
2013-04,3.5515,
2013-05,3.5336,
2013-06,3.5537,
2013-07,3.6067,
2013-08,3.5958,
2013-09,3.6692,
2013-10,3.7061,
2013-11,3.6980,
2013-12,3.7469,
2014-01,3.6722,
2014-02,3.7529,
2014-03,3.7461,
2014-04,3.7629,
2014-05,3.6969,
2014-06,3.7107,
2014-07,3.6349,
2014-08,3.5830,
2014-09,3.4187,
2014-10,3.4026,
2014-11,3.3915,
2014-12,3.2986,
2015-01,3.0715,
"","General: * The Eastern Caribbean Currency Union consists of the independent states of Antigua and Barbuda, Dominica, Grenada, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, as well as the British Overseas Territories of Anguilla and Montserrat. Pegged to the US dollar.",
"",Source: Eastern Caribbean Central Bank (for US dollar).,
"",Methodology: We do not have any data from the Eastern Caribbean Currency Union on euro exchange rates; the comparable rates were calculated on the basis of the selling rate for the US dollar in the Eastern Caribbean Currency Union (USD 1 = XCD 2.7169) in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
