"",BBFB1.Q.N.DE.BE.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:59,
1991-01,-178.055,
1991-04,-136.467,
1991-07,-135.261,
1991-10,-72.361,
1992-01,-405.409,
1992-04,-465.807,
1992-07,-313.939,
1992-10,-406.214,
1993-01,-270.100,
1993-04,-401.525,
1993-07,-307.385,
1993-10,-95.671,
1994-01,-227.172,
1994-04,-422.370,
1994-07,-343.324,
1994-10,-482.480,
1995-01,-417.169,
1995-04,-493.076,
1995-07,-315.466,
1995-10,-451.006,
1996-01,-173.486,
1996-04,-181.696,
1996-07,-190.742,
1996-10,-222.541,
1997-01,-228.597,
1997-04,-238.270,
1997-07,-245.627,
1997-10,-297.427,
1998-01,-177.757,
1998-04,-279.645,
1998-07,-255.409,
1998-10,-275.643,
1999-01,-333.359,
1999-04,-384.257,
1999-07,-365.378,
1999-10,-469.053,
2000-01,-372.488,
2000-04,-467.611,
2000-07,-389.074,
2000-10,-554.544,
2001-01,-546.125,
2001-04,-332.418,
2001-07,-378.856,
2001-10,-311.293,
2002-01,-426.208,
2002-04,-324.621,
2002-07,-335.348,
2002-10,-333.579,
2003-01,-290.329,
2003-04,-365.044,
2003-07,-375.155,
2003-10,-147.555,
2004-01,-122.076,
2004-04,-297.767,
2004-07,-235.859,
2004-10,-176.091,
2005-01,0.602,
2005-04,-7.730,
2005-07,41.510,
2005-10,57.800,
2006-01,159.000,
2006-04,138.461,
2006-07,213.886,
2006-10,210.999,
2007-01,32.185,
2007-04,148.372,
2007-07,160.992,
2007-10,6.880,
2008-01,69.262,
2008-04,76.325,
2008-07,55.351,
2008-10,85.662,
2009-01,91.778,
2009-04,268.389,
2009-07,162.575,
2009-10,237.169,
2010-01,111.953,
2010-04,75.242,
2010-07,133.979,
2010-10,153.110,
2011-01,108.910,
2011-04,204.122,
2011-07,115.000,
2011-10,178.978,
2012-01,11.993,
2012-04,143.669,
2012-07,54.267,
2012-10,145.294,
2013-01,169.623,
2013-04,101.309,
2013-07,87.134,
2013-10,262.398,
2014-01,305.559,Provisional value
2014-04,338.755,Provisional value
2014-07,331.143,Provisional value
