"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Funds total / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:48,
2009-09,162465,
2009-10,161133,
2009-11,163992,
2009-12,167982,
2010-01,164923,
2010-02,167260,
2010-03,175317,
2010-04,181509,
2010-05,181510,
2010-06,171666,
2010-07,175599,
2010-08,175428,
2010-09,179008,
2010-10,182576,
2010-11,180439,
2010-12,184779,
2011-01,184343,
2011-02,185264,
2011-03,181888,
2011-04,184488,
2011-05,183918,
2011-06,182043,
2011-07,182674,
2011-08,167834,
2011-09,162085,
2011-10,168343,
2011-11,162627,
2011-12,162245,
2012-01,168785,
2012-02,173428,
2012-03,172598,
2012-04,167428,
2012-05,163789,
2012-06,163310,
2012-07,168942,
2012-08,170772,
2012-09,173301,
2012-10,174020,
2012-11,176734,
2012-12,179891,
2013-01,181875,
2013-02,183451,
2013-03,184423,
2013-04,186212,
2013-05,189238,
2013-06,183844,
2013-07,189573,
2013-08,188052,
2013-09,193171,
2013-10,198416,
2013-11,200933,
2013-12,201850,
2014-01,200470,
2014-02,206034,
2014-03,205211,
2014-04,206467,
2014-05,209827,
2014-06,210458,
2014-07,207477,
2014-08,209489,
2014-09,206651,
2014-10,205327,
2014-11,210756,
