"",BBSF2.M.1.P.00000.DER01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DER01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Derivative funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:16,
2009-09,19,
2009-10,-35,
2009-11,-44,
2009-12,-22,
2010-01,-25,
2010-02,9,
2010-03,-29,
2010-04,-14,
2010-05,-20,
2010-06,-30,
2010-07,-12,
2010-08,-9,
2010-09,-8,
2010-10,-12,
2010-11,-8,
2010-12,-11,
2011-01,-15,
2011-02,-17,
2011-03,35,
2011-04,0,
2011-05,-1,
2011-06,-4,
2011-07,0,
2011-08,2,
2011-09,-1,
2011-10,20,
2011-11,0,
2011-12,0,
2012-01,-1,
2012-02,-1,
2012-03,0,
2012-04,0,
2012-05,0,
2012-06,5,
2012-07,1,
2012-08,1,
2012-09,4,
2012-10,1,
2012-11,1,
2012-12,0,
2013-01,-88,
2013-02,2,
2013-03,1,
2013-04,-2,
2013-05,-1,
2013-06,-1,
2013-07,-1,
2013-08,-1,
2013-09,0,
2013-10,-1,
2013-11,-1,
2013-12,-1,
2014-01,-1,
2014-02,0,
2014-03,0,
2014-04,0,
2014-05,8,
2014-06,-1,
2014-07,1,
2014-08,2,
2014-09,1,
2014-10,5,
2014-11,-2,
