"",BBK01.OECB11Q,BBK01.OECB11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:29,
2002-01,0.129,
2002-04,0.107,
2002-07,0.099,
2002-10,0.109,
2003-01,0.111,
2003-04,0.128,
2003-07,0.212,
2003-10,0.205,
2004-01,0.193,
2004-04,0.185,
2004-07,0.150,
2004-10,0.223,
2005-01,0.228,
2005-04,0.230,
2005-07,0.302,
2005-10,0.257,
2006-01,0.241,
2006-04,0.248,
2006-07,0.231,
2006-10,0.218,
2007-01,0.278,
2007-04,0.220,
2007-07,0.183,
2007-10,0.197,
2008-01,0.184,
2008-04,0.174,
2008-07,0.172,
2008-10,0.195,
2009-01,0.190,
2009-04,0.172,
2009-07,0.157,
2009-10,0.184,
2010-01,0.155,
2010-04,0.154,
2010-07,0.148,
2010-10,0.179,
2011-01,0.185,
2011-04,0.148,
2011-07,0.162,
2011-10,0.172,
2012-01,0.157,
2012-04,0.159,
2012-07,0.151,
2012-10,0.154,
2013-01,0.183,
2013-04,0.180,
2013-07,0.199,
2013-10,0.202,
2014-01,0.195,
2014-04,0.199,
2014-07,0.203,
